date,부자되는법
2022-10-26,45.0
2022-10-27,51.90476
2022-10-28,40.47619
2022-10-29,32.14285
2022-10-30,33.80952
2022-10-31,34.5238
2022-11-01,38.80952
2022-11-02,37.61904
2022-11-03,35.71428
2022-11-04,40.95238
2022-11-05,30.95238
2022-11-06,38.57142
2022-11-07,47.38095
2022-11-08,41.90476
2022-11-09,40.47619
2022-11-10,39.04761
2022-11-11,38.09523
2022-11-12,32.61904
2022-11-13,46.19047
2022-11-14,45.95238
2022-11-15,45.71428
2022-11-16,50.47619
2022-11-17,39.7619
2022-11-18,35.0
2022-11-19,38.80952
2022-11-20,38.33333
2022-11-21,44.7619
2022-11-22,40.23809
2022-11-23,40.71428
2022-11-24,30.47619
2022-11-25,29.5238
2022-11-26,31.42857
2022-11-27,36.19047
2022-11-28,32.14285
2022-11-29,27.38095
2022-11-30,26.19047
2022-12-01,24.04761
2022-12-02,24.7619
2022-12-03,22.85714
2022-12-04,34.7619
2022-12-05,33.33333
2022-12-06,33.09523
2022-12-07,30.0
2022-12-08,28.33333
2022-12-09,25.23809
2022-12-10,25.0
2022-12-11,33.09523
2022-12-12,37.38095
2022-12-13,34.04761
2022-12-14,31.19047
2022-12-15,30.23809
2022-12-16,31.42857
2022-12-17,24.04761
2022-12-18,24.04761
2022-12-19,30.0
2022-12-20,32.38095
2022-12-21,26.42857
2022-12-22,30.71428
2022-12-23,23.80952
2022-12-24,23.33333
2022-12-25,30.95238
2022-12-26,28.80952
2022-12-27,27.14285
2022-12-28,34.7619
2022-12-29,32.14285
2022-12-30,24.04761
2022-12-31,28.57142
2023-01-01,37.61904
2023-01-02,39.28571
2023-01-03,31.42857
2023-01-04,31.42857
2023-01-05,32.38095
2023-01-06,29.04761
2023-01-07,27.61904
2023-01-08,36.42857
2023-01-09,35.71428
2023-01-10,33.80952
2023-01-11,35.23809
2023-01-12,33.57142
2023-01-13,28.09523
2023-01-14,34.04761
2023-01-15,26.19047
2023-01-16,34.5238
2023-01-17,32.85714
2023-01-18,29.7619
2023-01-19,26.66666
2023-01-20,29.5238
2023-01-21,22.14285
2023-01-22,30.23809
2023-01-23,32.61904
2023-01-24,45.71428
2023-01-25,39.04761
2023-01-26,38.09523
2023-01-27,34.28571
2023-01-28,39.04761
2023-01-29,40.47619
2023-01-30,42.14285
2023-01-31,35.47619
2023-02-01,33.57142
2023-02-02,37.85714
2023-02-03,34.7619
2023-02-04,25.23809
2023-02-05,37.85714
2023-02-06,40.23809
2023-02-07,31.19047
2023-02-08,33.09523
2023-02-09,31.19047
2023-02-10,30.0
2023-02-11,29.7619
2023-02-12,54.04761
2023-02-13,41.19047
2023-02-14,46.19047
2023-02-15,32.14285
2023-02-16,38.80952
2023-02-17,32.61904
2023-02-18,34.04761
2023-02-19,29.5238
2023-02-20,33.33333
2023-02-21,30.95238
2023-02-22,36.42857
2023-02-23,28.09523
2023-02-24,25.23809
2023-02-25,23.57142
2023-02-26,31.66666
2023-02-27,26.19047
2023-02-28,33.80952
2023-03-01,27.61904
2023-03-02,31.90476
2023-03-03,23.57142
2023-03-04,29.7619
2023-03-05,27.85714
2023-03-06,33.57142
2023-03-07,29.5238
2023-03-08,27.61904
2023-03-09,30.95238
2023-03-10,21.66666
2023-03-11,26.90476
2023-03-12,28.09523
2023-03-13,21.90476
2023-03-14,22.14285
2023-03-15,31.42857
2023-03-16,24.04761
2023-03-17,21.66666
2023-03-18,21.66666
2023-03-19,27.85714
2023-03-20,26.66666
2023-03-21,27.14285
2023-03-22,25.95238
2023-03-23,29.28571
2023-03-24,26.19047
2023-03-25,20.47619
2023-03-26,32.61904
2023-03-27,30.47619
2023-03-28,25.95238
2023-03-29,26.90476
2023-03-30,32.38095
2023-03-31,27.85714
2023-04-01,17.38095
2023-04-02,28.09523
2023-04-03,29.7619
2023-04-04,22.85714
2023-04-05,29.7619
2023-04-06,23.80952
2023-04-07,19.7619
2023-04-08,21.90476
2023-04-09,31.66666
2023-04-10,29.5238
2023-04-11,26.90476
2023-04-12,28.33333
2023-04-13,23.80952
2023-04-14,21.90476
2023-04-15,23.80952
2023-04-16,29.28571
2023-04-17,37.85714
2023-04-18,30.47619
2023-04-19,30.71428
2023-04-20,32.61904
2023-04-21,35.23809
2023-04-22,25.71428
2023-04-23,34.04761
2023-04-24,34.28571
2023-04-25,30.47619
2023-04-26,26.42857
2023-04-27,24.28571
2023-04-28,25.23809
2023-04-29,23.57142
2023-04-30,25.0
2023-05-01,25.71428
2023-05-02,28.57142
2023-05-03,22.38095
2023-05-04,20.0
2023-05-05,19.04761
2023-05-06,17.85714
2023-05-07,30.23809
2023-05-08,29.5238
2023-05-09,27.38095
