date,퇴직연금디폴트옵션
2024-02-19,3.35801
2024-02-20,4.257
2024-02-21,4.65362
2024-02-22,3.56953
2024-02-23,2.85563
2024-02-24,1.18984
2024-02-25,1.05764
2024-02-26,3.0936
2024-02-27,3.0936
2024-02-28,3.43733
2024-02-29,3.14648
2024-03-01,1.0312
2024-03-02,0.84611
2024-03-03,0.55526
2024-03-04,7.03331
2024-03-05,4.94447
2024-03-06,4.04547
2024-03-07,3.38445
2024-03-08,3.46377
2024-03-09,1.13696
2024-03-10,0.84611
2024-03-11,2.90851
2024-03-12,7.11263
2024-03-13,6.74246
2024-03-14,4.07191
2024-03-15,4.30988
2024-03-16,1.18984
2024-03-17,1.32205
2024-03-18,3.38445
2024-03-19,4.04547
2024-03-20,3.75462
