date,호텔신라주가
2021-12-21,19.90531
2021-12-22,21.47678
2021-12-23,21.06036
2021-12-24,20.27571
2021-12-25,2.25967
2021-12-26,2.28597
2021-12-27,19.71244
2021-12-28,19.81764
2021-12-29,20.359
2021-12-30,18.03357
2021-12-31,4.69469
2022-01-01,2.16981
2022-01-02,1.86954
2022-01-03,18.48069
2022-01-04,17.51194
2022-01-05,17.27962
2022-01-06,17.54701
2022-01-07,18.05111
2022-01-08,2.16543
2022-01-09,2.24871
2022-01-10,25.2115
2022-01-11,21.34528
2022-01-12,20.73598
2022-01-13,21.96992
2022-01-14,18.72397
2022-01-15,2.25529
2022-01-16,1.70735
2022-01-17,16.95086
2022-01-18,16.31306
2022-01-19,16.7799
2022-01-20,17.24674
2022-01-21,16.03471
2022-01-22,2.16104
2022-01-23,1.81694
2022-01-24,16.59141
2022-01-25,18.24179
2022-01-26,18.12343
2022-01-27,19.89435
2022-01-28,20.35023
2022-01-29,2.59062
2022-01-30,1.81913
2022-01-31,1.5101
2022-02-01,1.39175
2022-02-02,1.74461
2022-02-03,20.78639
2022-02-04,23.97974
2022-02-05,4.51716
2022-02-06,4.03936
2022-02-07,27.94897
2022-02-08,28.39389
2022-02-09,27.88979
2022-02-10,28.53636
2022-02-11,24.79726
2022-02-12,2.85144
2022-02-13,2.79884
2022-02-14,21.48993
2022-02-15,19.42313
2022-02-16,25.97203
2022-02-17,28.21198
2022-02-18,22.85977
2022-02-19,2.52049
2022-02-20,2.02077
2022-02-21,22.80278
2022-02-22,20.52338
2022-02-23,19.68395
2022-02-24,20.3064
2022-02-25,19.60943
2022-02-26,2.16981
2022-02-27,1.85639
2022-02-28,17.86043
2022-03-01,2.93253
2022-03-02,17.72454
2022-03-03,17.69385
2022-03-04,16.07635
2022-03-05,2.14132
2022-03-06,2.54241
2022-03-07,16.54319
2022-03-08,17.35852
2022-03-09,2.08433
2022-03-10,22.2154
2022-03-11,26.91009
2022-03-12,3.56814
2022-03-13,3.26129
2022-03-14,30.79822
2022-03-15,26.39065
2022-03-16,25.22246
2022-03-17,25.25314
2022-03-18,22.50909
2022-03-19,3.37307
2022-03-20,2.61692
2022-03-21,21.79678
2022-03-22,20.07627
2022-03-23,19.36395
2022-03-24,17.9722
2022-03-25,16.77771
2022-03-26,2.06899
2022-03-27,1.75338
2022-03-28,16.97497
2022-03-29,18.78753
2022-03-30,19.10971
2022-03-31,17.9196
2022-04-01,21.67842
2022-04-02,3.29855
2022-04-03,2.97856
2022-04-04,26.92543
2022-04-05,23.26962
2022-04-06,21.26419
2022-04-07,19.99736
2022-04-08,18.77876
2022-04-09,2.13474
