date,CI보험
2022-05-13,8.2832
2022-05-14,4.30356
2022-05-15,3.93336
2022-05-16,9.44007
2022-05-17,9.71772
2022-05-18,11.47616
2022-05-19,9.94909
2022-05-20,11.01341
2022-05-21,4.25728
2022-05-22,4.99768
2022-05-23,10.87459
2022-05-24,9.85654
2022-05-25,10.59694
2022-05-26,10.31929
2022-05-27,8.93105
2022-05-28,4.02591
2022-05-29,3.42434
2022-05-30,10.22674
2022-05-31,8.0981
2022-06-01,3.60944
2022-06-02,8.69967
2022-06-03,10.22674
2022-06-04,5.6918
2022-06-05,3.70198
2022-06-06,4.11846
2022-06-07,7.7279
2022-06-08,11.24479
2022-06-09,9.94909
2022-06-10,10.18047
2022-06-11,3.65571
2022-06-12,3.97963
2022-06-13,9.34752
2022-06-14,10.31929
2022-06-15,10.59694
2022-06-16,11.52244
2022-06-17,8.79222
2022-06-18,4.25728
2022-06-19,3.56316
2022-06-20,10.82832
2022-06-21,11.05969
2022-06-22,11.15224
2022-06-23,10.18047
2022-06-24,9.39379
2022-06-25,4.76631
2022-06-26,4.58121
2022-06-27,10.36557
2022-06-28,11.80009
2022-06-29,10.96714
2022-06-30,10.50439
2022-07-01,7.58907
2022-07-02,4.02591
2022-07-03,3.79453
2022-07-04,9.25497
2022-07-05,10.82832
2022-07-06,10.36557
2022-07-07,9.90282
2022-07-08,10.41184
2022-07-09,5.64553
2022-07-10,4.16473
2022-07-11,10.18047
2022-07-12,10.68949
2022-07-13,12.44794
2022-07-14,9.53262
2022-07-15,8.00555
2022-07-16,3.60944
2022-07-17,4.53493
2022-07-18,9.67144
2022-07-19,12.40166
2022-07-20,12.26284
2022-07-21,12.26284
2022-07-22,12.12401
2022-07-23,4.25728
2022-07-24,6.70985
2022-07-25,8.74595
2022-07-26,12.03146
2022-07-27,11.19851
2022-07-28,10.55067
2022-07-29,9.44007
2022-07-30,4.11846
2022-07-31,3.88708
2022-08-01,8.2832
2022-08-02,10.96714
2022-08-03,9.81027
2022-08-04,9.67144
2022-08-05,10.13419
2022-08-06,5.36788
2022-08-07,6.4322
2022-08-08,10.13419
2022-08-09,9.76399
2022-08-10,10.18047
2022-08-11,10.41184
2022-08-12,9.20869
2022-08-13,5.8769
2022-08-14,4.07218
2022-08-15,4.11846
2022-08-16,10.08792
2022-08-17,11.61499
2022-08-18,10.13419
2022-08-19,8.97732
2022-08-20,4.81258
2022-08-21,5.04396
2022-08-22,10.59694
2022-08-23,10.27302
2022-08-24,12.67931
2022-08-25,11.56871
2022-08-26,9.99537
2022-08-27,6.10828
2022-08-28,4.02591
2022-08-29,10.27302
2022-08-30,12.63304
2022-08-31,8.2832
2022-09-01,8.05182
2022-09-02,9.85654
2022-09-03,5.5067
2022-09-04,4.39611
2022-09-05,8.37575
2022-09-06,8.93105
2022-09-07,8.37575
2022-09-08,7.31142
2022-09-09,3.33179
2022-09-10,2.59139
2022-09-11,2.77649
2022-09-12,4.76631
2022-09-13,8.6534
2022-09-14,10.08792
2022-09-15,11.56871
2022-09-16,11.56871
2022-09-17,5.41416
2022-09-18,4.34983
2022-09-19,10.96714
2022-09-20,12.12401
2022-09-21,11.01341
2022-09-22,14.94678
2022-09-23,9.0236
2022-09-24,4.07218
2022-09-25,3.65571
2022-09-26,10.22674
2022-09-27,11.66126
2022-09-28,12.26284
2022-09-29,10.68949
2022-09-30,7.12633
2022-10-01,3.37806
2022-10-02,2.77649
2022-10-03,3.42434
2022-10-04,8.32947
2022-10-05,9.34752
2022-10-06,7.95927
2022-10-07,8.19065
2022-10-08,3.60944
2022-10-09,3.93336
2022-10-10,4.11846
2022-10-11,9.48634
2022-10-12,10.50439
2022-10-13,9.06987
2022-10-14,9.30124
2022-10-15,4.16473
2022-10-16,3.33179
2022-10-17,9.99537
2022-10-18,11.98519
2022-10-19,10.68949
2022-10-20,11.66126
2022-10-21,9.76399
2022-10-22,4.53493
2022-10-23,5.09023
2022-10-24,10.08792
2022-10-25,10.31929
2022-10-26,10.50439
2022-10-27,11.98519
2022-10-28,9.34752
2022-10-29,4.34983
2022-10-30,3.93336
2022-10-31,8.60712
2022-11-01,8.23692
2022-11-02,7.86672
2022-11-03,10.68949
2022-11-04,7.49652
2022-11-05,4.62748
2022-11-06,5.04396
2022-11-07,9.76399
2022-11-08,11.61499
2022-11-09,11.98519
2022-11-10,9.34752
2022-11-11,7.21888
2022-11-12,4.39611
2022-11-13,4.30356
2022-11-14,11.33734
2022-11-15,11.89264
2022-11-16,11.47616
2022-11-17,10.87459
2022-11-18,10.41184
2022-11-19,4.90513
2022-11-20,5.36788
2022-11-21,12.07774
2022-11-22,11.38361
2022-11-23,11.38361
2022-11-24,10.31929
2022-11-25,9.85654
2022-11-26,3.79453
2022-11-27,3.51689
2022-11-28,9.25497
2022-11-29,9.20869
2022-11-30,10.04164
2022-12-01,8.60712
2022-12-02,8.69967
2022-12-03,4.07218
2022-12-04,4.58121
2022-12-05,8.93105
2022-12-06,9.39379
2022-12-07,12.07774
2022-12-08,11.01341
2022-12-09,9.81027
2022-12-10,4.16473
2022-12-11,4.85886
2022-12-12,10.36557
2022-12-13,10.82832
2022-12-14,12.91068
2022-12-15,12.49421
2022-12-16,8.6534
2022-12-17,5.27533
2022-12-18,4.58121
2022-12-19,10.31929
2022-12-20,11.33734
2022-12-21,10.59694
2022-12-22,10.13419
2022-12-23,8.0981
2022-12-24,4.16473
2022-12-25,3.10041
2022-12-26,11.33734
2022-12-27,11.42989
2022-12-28,10.22674
2022-12-29,11.19851
2022-12-30,8.0981
2022-12-31,3.37806
2023-01-01,3.47061
