date,부동산정보
2021-10-20,48.91774
2021-10-21,42.85714
2021-10-22,45.45454
2021-10-23,26.83982
2021-10-24,23.80952
2021-10-25,57.14285
2021-10-26,51.08225
2021-10-27,48.48484
2021-10-28,51.08225
2021-10-29,36.36363
2021-10-30,24.67532
2021-10-31,27.70562
2021-11-01,51.51515
2021-11-02,44.58874
2021-11-03,48.48484
2021-11-04,47.61904
2021-11-05,36.36363
2021-11-06,33.33333
2021-11-07,32.46753
2021-11-08,39.82683
2021-11-09,46.32034
2021-11-10,43.72294
2021-11-11,47.18614
2021-11-12,44.58874
2021-11-13,28.57142
2021-11-14,31.16883
2021-11-15,49.78354
2021-11-16,42.85714
2021-11-17,46.75324
2021-11-18,38.52813
2021-11-19,30.73593
2021-11-20,21.64502
2021-11-21,25.54112
2021-11-22,53.24675
2021-11-23,48.48484
2021-11-24,35.93073
2021-11-25,47.61904
2021-11-26,42.42424
2021-11-27,27.70562
2021-11-28,25.97402
2021-11-29,38.96103
2021-11-30,41.55844
2021-12-01,39.82683
2021-12-02,44.58874
2021-12-03,31.16883
2021-12-04,29.87012
2021-12-05,24.24242
2021-12-06,50.21645
2021-12-07,47.61904
2021-12-08,41.12554
2021-12-09,54.54545
2021-12-10,39.82683
2021-12-11,29.43722
2021-12-12,27.70562
2021-12-13,42.85714
2021-12-14,41.55844
2021-12-15,55.84415
2021-12-16,43.29004
2021-12-17,48.05194
2021-12-18,36.79653
2021-12-19,28.57142
2021-12-20,47.18614
2021-12-21,47.61904
2021-12-22,41.55844
2021-12-23,38.52813
2021-12-24,32.90043
2021-12-25,25.54112
2021-12-26,30.30303
2021-12-27,51.51515
2021-12-28,34.19913
2021-12-29,43.72294
2021-12-30,51.08225
2021-12-31,37.66233
2022-01-01,31.16883
2022-01-02,28.13852
2022-01-03,59.74025
2022-01-04,56.27705
2022-01-05,51.51515
2022-01-06,54.97835
2022-01-07,45.45454
2022-01-08,38.96103
2022-01-09,28.13852
2022-01-10,64.06926
2022-01-11,57.14285
2022-01-12,47.61904
2022-01-13,51.51515
2022-01-14,51.94805
2022-01-15,31.16883
2022-01-16,25.54112
2022-01-17,48.05194
2022-01-18,55.41125
2022-01-19,36.36363
2022-01-20,52.38095
2022-01-21,43.29004
2022-01-22,31.60173
2022-01-23,29.87012
2022-01-24,37.22943
2022-01-25,41.12554
2022-01-26,41.99134
2022-01-27,37.66233
2022-01-28,32.90043
2022-01-29,24.24242
2022-01-30,25.10822
2022-01-31,21.64502
2022-02-01,25.54112
2022-02-02,34.19913
2022-02-03,61.90476
2022-02-04,50.21645
2022-02-05,34.19913
2022-02-06,33.33333
2022-02-07,55.41125
2022-02-08,59.30735
2022-02-09,51.94805
2022-02-10,52.81385
2022-02-11,54.11255
2022-02-12,29.87012
2022-02-13,34.63203
2022-02-14,51.08225
2022-02-15,51.94805
2022-02-16,54.54545
2022-02-17,57.57575
2022-02-18,44.58874
2022-02-19,35.49783
2022-02-20,41.12554
2022-02-21,54.97835
2022-02-22,55.41125
2022-02-23,56.27705
2022-02-24,48.05194
2022-02-25,38.96103
2022-02-26,27.70562
2022-02-27,28.57142
2022-02-28,37.66233
2022-03-01,38.09523
2022-03-02,48.91774
2022-03-03,40.69264
2022-03-04,47.18614
2022-03-05,35.06493
2022-03-06,33.33333
2022-03-07,52.38095
2022-03-08,35.06493
2022-03-09,28.57142
2022-03-10,33.33333
2022-03-11,47.18614
2022-03-12,34.19913
2022-03-13,38.52813
2022-03-14,44.15584
2022-03-15,57.57575
2022-03-16,53.24675
2022-03-17,50.21645
2022-03-18,50.64935
2022-03-19,36.79653
2022-03-20,34.19913
2022-03-21,58.44155
2022-03-22,54.11255
2022-03-23,53.67965
2022-03-24,63.20346
2022-03-25,48.05194
2022-03-26,34.19913
2022-03-27,32.46753
2022-03-28,48.05194
2022-03-29,54.97835
2022-03-30,49.78354
2022-03-31,42.42424
2022-04-01,42.42424
2022-04-02,33.76623
2022-04-03,22.94372
2022-04-04,48.05194
2022-04-05,48.91774
2022-04-06,42.85714
2022-04-07,45.02164
2022-04-08,45.45454
2022-04-09,27.70562
2022-04-10,24.67532
2022-04-11,37.22943
2022-04-12,46.75324
2022-04-13,45.02164
2022-04-14,48.91774
2022-04-15,52.81385
2022-04-16,32.03463
2022-04-17,26.83982
2022-04-18,48.48484
2022-04-19,43.72294
2022-04-20,50.64935
2022-04-21,48.05194
2022-04-22,40.69264
2022-04-23,27.70562
2022-04-24,28.13852
2022-04-25,48.91774
2022-04-26,51.51515
2022-04-27,49.78354
2022-04-28,38.96103
2022-04-29,44.15584
2022-04-30,26.83982
2022-05-01,30.73593
2022-05-02,43.72294
2022-05-03,39.39393
2022-05-04,35.93073
2022-05-05,24.24242
2022-05-06,33.33333
2022-05-07,28.57142
2022-05-08,20.34632
2022-05-09,40.25974
2022-05-10,49.78354
2022-05-11,51.08225
2022-05-12,50.21645
2022-05-13,39.82683
2022-05-14,35.49783
2022-05-15,25.10822
2022-05-16,52.38095
2022-05-17,38.09523
2022-05-18,39.82683
2022-05-19,45.02164
2022-05-20,38.52813
2022-05-21,31.60173
2022-05-22,35.93073
2022-05-23,48.05194
2022-05-24,41.55844
2022-05-25,35.49783
2022-05-26,44.15584
2022-05-27,36.36363
2022-05-28,26.40692
2022-05-29,24.67532
2022-05-30,52.38095
2022-05-31,35.93073
2022-06-01,25.54112
2022-06-02,35.49783
2022-06-03,34.63203
2022-06-04,26.40692
2022-06-05,20.77922
2022-06-06,27.27272
2022-06-07,44.58874
2022-06-08,43.72294
2022-06-09,40.25974
2022-06-10,39.39393
2022-06-11,27.70562
2022-06-12,35.06493
2022-06-13,41.55844
2022-06-14,48.05194
2022-06-15,45.45454
2022-06-16,44.15584
2022-06-17,34.19913
2022-06-18,21.64502
2022-06-19,23.37662
2022-06-20,40.69264
2022-06-21,46.75324
2022-06-22,39.82683
2022-06-23,32.46753
2022-06-24,31.16883
2022-06-25,37.66233
2022-06-26,20.77922
2022-06-27,35.93073
2022-06-28,39.39393
2022-06-29,36.36363
2022-06-30,30.30303
2022-07-01,31.60173
2022-07-02,21.64502
2022-07-03,20.77922
2022-07-04,44.15584
2022-07-05,41.55844
2022-07-06,41.99134
2022-07-07,33.33333
2022-07-08,33.76623
2022-07-09,18.18181
2022-07-10,12.98701
2022-07-11,38.96103
2022-07-12,33.76623
2022-07-13,38.96103
2022-07-14,26.40692
2022-07-15,38.09523
2022-07-16,28.13852
2022-07-17,20.77922
2022-07-18,45.88744
2022-07-19,35.93073
2022-07-20,40.25974
2022-07-21,36.79653
2022-07-22,35.06493
2022-07-23,29.87012
2022-07-24,26.40692
2022-07-25,38.96103
2022-07-26,38.96103
2022-07-27,31.16883
2022-07-28,38.96103
2022-07-29,28.13852
2022-07-30,16.88311
2022-07-31,16.45021
2022-08-01,34.63203
2022-08-02,34.63203
2022-08-03,25.97402
2022-08-04,42.85714
2022-08-05,38.96103
2022-08-06,25.97402
2022-08-07,25.54112
2022-08-08,38.52813
2022-08-09,42.85714
2022-08-10,34.19913
2022-08-11,36.79653
2022-08-12,38.96103
2022-08-13,21.21212
2022-08-14,22.51082
2022-08-15,28.13852
2022-08-16,43.29004
2022-08-17,39.39393
2022-08-18,32.46753
2022-08-19,32.90043
2022-08-20,22.51082
2022-08-21,23.80952
2022-08-22,44.58874
2022-08-23,45.02164
2022-08-24,44.58874
2022-08-25,37.22943
2022-08-26,34.63203
2022-08-27,22.07792
2022-08-28,21.64502
2022-08-29,38.09523
2022-08-30,37.22943
2022-08-31,44.58874
2022-09-01,47.61904
2022-09-02,34.19913
2022-09-03,28.13852
2022-09-04,19.91341
2022-09-05,37.22943
2022-09-06,30.73593
2022-09-07,36.36363
2022-09-08,24.24242
2022-09-09,11.68831
2022-09-10,18.18181
2022-09-11,17.74891
2022-09-12,25.97402
2022-09-13,44.15584
2022-09-14,47.61904
2022-09-15,46.75324
2022-09-16,49.35064
2022-09-17,29.00432
2022-09-18,26.83982
2022-09-19,54.97835
2022-09-20,52.38095
2022-09-21,44.58874
2022-09-22,49.35064
2022-09-23,42.85714
2022-09-24,22.51082
2022-09-25,33.33333
2022-09-26,50.64935
2022-09-27,37.66233
2022-09-28,43.29004
2022-09-29,45.02164
2022-09-30,32.46753
2022-10-01,17.31601
2022-10-02,17.74891
2022-10-03,30.73593
2022-10-04,32.46753
2022-10-05,36.36363
2022-10-06,33.76623
2022-10-07,27.70562
2022-10-08,18.18181
2022-10-09,21.64502
2022-10-10,24.24242
2022-10-11,37.66233
2022-10-12,30.73593
2022-10-13,39.39393
2022-10-14,29.43722
2022-10-15,27.70562
2022-10-16,24.67532
2022-10-17,31.16883
2022-10-18,41.12554
2022-10-19,36.36363
2022-10-20,31.16883
2022-10-21,38.09523
2022-10-22,23.80952
2022-10-23,25.10822
2022-10-24,39.39393
2022-10-25,30.30303
2022-10-26,43.29004
2022-10-27,37.22943
2022-10-28,36.36363
2022-10-29,18.18181
2022-10-30,14.28571
2022-10-31,38.52813
2022-11-01,38.52813
2022-11-02,31.60173
2022-11-03,36.79653
2022-11-04,32.46753
2022-11-05,19.04761
2022-11-06,22.07792
2022-11-07,37.66233
2022-11-08,35.49783
2022-11-09,36.36363
2022-11-10,34.19913
2022-11-11,39.82683
2022-11-12,20.34632
2022-11-13,23.37662
2022-11-14,35.49783
2022-11-15,39.82683
2022-11-16,41.55844
2022-11-17,30.30303
2022-11-18,38.09523
2022-11-19,14.71861
2022-11-20,16.01731
2022-11-21,44.58874
2022-11-22,31.60173
2022-11-23,32.46753
2022-11-24,31.16883
2022-11-25,37.66233
