date,간병보험
2022-08-24,26.06232
2022-08-25,18.88574
2022-08-26,18.31916
2022-08-27,11.80358
2022-08-28,13.22001
2022-08-29,18.41359
2022-08-30,22.56846
2022-08-31,16.24173
2022-09-01,19.35788
2022-09-02,13.22001
2022-09-03,10.67044
2022-09-04,8.68744
2022-09-05,17.75259
2022-09-06,12.08687
2022-09-07,16.61945
2022-09-08,12.08687
2022-09-09,6.70443
2022-09-10,14.91973
2022-09-11,8.78186
2022-09-12,13.97544
2022-09-13,18.69688
2022-09-14,20.11331
2022-09-15,18.22474
2022-09-16,16.71388
2022-09-17,12.27573
2022-09-18,15.76959
2022-09-19,16.05288
2022-09-20,14.1643
2022-09-21,14.44759
2022-09-22,17.28045
2022-09-23,15.20302
2022-09-24,7.08215
2022-09-25,9.25401
2022-09-26,14.44759
2022-09-27,16.52502
2022-09-28,16.71388
2022-09-29,16.90273
2022-09-30,13.40887
2022-10-01,8.30972
2022-10-02,7.64872
2022-10-03,10.10387
2022-10-04,14.25873
2022-10-05,15.95845
2022-10-06,12.37016
2022-10-07,15.86402
2022-10-08,9.91501
2022-10-09,6.61
2022-10-10,9.25401
2022-10-11,15.01416
2022-10-12,12.08687
2022-10-13,13.12559
2022-10-14,13.88101
2022-10-15,10.10387
2022-10-16,8.02644
2022-10-17,17.28045
2022-10-18,14.1643
2022-10-19,15.29745
2022-10-20,13.69216
2022-10-21,13.97544
2022-10-22,8.59301
2022-10-23,7.45986
2022-10-24,15.01416
2022-10-25,15.39187
2022-10-26,15.20302
2022-10-27,15.58073
2022-10-28,16.1473
2022-10-29,10.48158
2022-10-30,7.93201
2022-10-31,10.57601
2022-11-01,13.31444
2022-11-02,14.91973
2022-11-03,12.27573
2022-11-04,13.78659
2022-11-05,7.45986
2022-11-06,10.67044
2022-11-07,14.44759
2022-11-08,14.06987
2022-11-09,14.54202
2022-11-10,15.01416
2022-11-11,11.5203
2022-11-12,7.55429
2022-11-13,10.00944
2022-11-14,17.28045
2022-11-15,14.25873
2022-11-16,16.1473
2022-11-17,13.88101
2022-11-18,13.31444
2022-11-19,9.82058
2022-11-20,11.80358
2022-11-21,15.39187
2022-11-22,15.95845
2022-11-23,12.8423
2022-11-24,13.12559
2022-11-25,12.46458
2022-11-26,8.40415
2022-11-27,10.00944
2022-11-28,14.63644
2022-11-29,13.78659
2022-11-30,12.8423
2022-12-01,11.33144
2022-12-02,12.37016
2022-12-03,10.38715
2022-12-04,8.87629
2022-12-05,15.58073
2022-12-06,16.43059
2022-12-07,15.95845
2022-12-08,13.88101
2022-12-09,12.55901
2022-12-10,11.23701
2022-12-11,10.67044
2022-12-12,13.03116
2022-12-13,17.37488
2022-12-14,12.55901
2022-12-15,12.27573
2022-12-16,14.63644
2022-12-17,7.83758
2022-12-18,11.5203
2022-12-19,15.10859
2022-12-20,20.20774
2022-12-21,16.61945
2022-12-22,14.1643
2022-12-23,9.82058
2022-12-24,7.55429
2022-12-25,8.78186
2022-12-26,14.54202
2022-12-27,14.63644
2022-12-28,14.73087
2022-12-29,15.20302
2022-12-30,12.27573
2022-12-31,9.82058
2023-01-01,10.67044
2023-01-02,14.8253
2023-01-03,18.98016
2023-01-04,22.3796
2023-01-05,15.86402
2023-01-06,16.61945
2023-01-07,13.12559
2023-01-08,10.67044
2023-01-09,17.75259
2023-01-10,15.58073
2023-01-11,25.96789
2023-01-12,19.16902
2023-01-13,18.50802
2023-01-14,18.69688
2023-01-15,20.58545
2023-01-16,18.22474
2023-01-17,21.52974
2023-01-18,20.86874
2023-01-19,18.88574
2023-01-20,15.95845
2023-01-21,13.12559
2023-01-22,14.1643
2023-01-23,12.8423
2023-01-24,16.24173
2023-01-25,26.81775
2023-01-26,18.98016
2023-01-27,21.62417
2023-01-28,17.56373
2023-01-29,14.25873
2023-01-30,26.62889
2023-01-31,100.0
2023-02-01,42.02077
2023-02-02,22.85174
2023-02-03,23.79603
2023-02-04,20.49102
2023-02-05,29.65061
2023-02-06,25.49575
2023-02-07,24.07932
2023-02-08,19.16902
2023-02-09,20.49102
2023-02-10,18.22474
2023-02-11,13.31444
2023-02-12,13.78659
2023-02-13,22.56846
2023-02-14,19.16902
2023-02-15,23.0406
2023-02-16,17.94145
2023-02-17,18.22474
2023-02-18,13.69216
2023-02-19,13.88101
2023-02-20,15.29745
2023-02-21,19.54674
2023-02-22,18.03588
2023-02-23,21.90745
2023-02-24,19.16902
2023-02-25,12.1813
2023-02-26,15.29745
2023-02-27,22.28517
2023-02-28,16.1473
2023-03-01,15.4863
2023-03-02,18.41359
2023-03-03,13.88101
2023-03-04,18.98016
2023-03-05,12.93673
2023-03-06,18.88574
2023-03-07,20.11331
2023-03-08,21.15203
2023-03-09,16.61945
2023-03-10,20.49102
2023-03-11,11.14258
2023-03-12,14.8253
2023-03-13,20.58545
2023-03-14,19.54674
2023-03-15,21.62417
2023-03-16,17.75259
2023-03-17,16.1473
2023-03-18,13.40887
2023-03-19,15.39187
2023-03-20,24.07932
2023-03-21,22.47403
2023-03-22,21.0576
2023-03-23,21.90745
2023-03-24,19.35788
2023-03-25,16.71388
2023-03-26,12.55901
2023-03-27,16.52502
2023-03-28,22.00188
2023-03-29,23.13503
2023-03-30,16.1473
2023-03-31,20.11331
2023-04-01,13.97544
2023-04-02,13.69216
2023-04-03,16.90273
2023-04-04,20.20774
2023-04-05,18.13031
2023-04-06,25.11803
2023-04-07,21.0576
2023-04-08,14.63644
2023-04-09,13.69216
2023-04-10,19.07459
2023-04-11,18.69688
2023-04-12,20.96317
2023-04-13,20.86874
2023-04-14,16.71388
2023-04-15,13.78659
2023-04-16,18.69688
2023-04-17,21.62417
2023-04-18,26.15675
2023-04-19,25.6846
2023-04-20,19.16902
2023-04-21,15.95845
2023-04-22,15.86402
2023-04-23,11.61473
2023-04-24,20.3966
2023-04-25,19.16902
2023-04-26,19.26345
2023-04-27,17.65816
2023-04-28,16.1473
2023-04-29,12.37016
2023-04-30,11.99244
2023-05-01,24.83474
2023-05-02,39.37677
2023-05-03,68.83852
2023-05-04,35.78847
2023-05-05,29.93389
2023-05-06,25.40132
2023-05-07,35.50519
2023-05-08,33.52219
2023-05-09,31.2559
2023-05-10,24.64589
2023-05-11,20.77431
2023-05-12,26.72332
2023-05-13,17.18602
2023-05-14,17.84702
2023-05-15,22.56846
2023-05-16,23.60717
2023-05-17,22.19074
2023-05-18,21.90745
2023-05-19,24.07932
2023-05-20,14.8253
2023-05-21,14.35316
2023-05-22,28.61189
2023-05-23,31.82247
2023-05-24,28.04532
2023-05-25,24.55146
2023-05-26,24.55146
2023-05-27,18.69688
2023-05-28,33.2389
