date,상장주식
2022-06-30,3.10421
2022-07-01,3.0303
2022-07-02,1.33037
2022-07-03,1.40428
2022-07-04,2.2912
2022-07-05,2.06947
2022-07-06,4.65631
2022-07-07,3.25203
2022-07-08,3.10421
2022-07-09,1.40428
2022-07-10,0.813
2022-07-11,1.77383
2022-07-12,1.99556
2022-07-13,1.5521
2022-07-14,3.69549
2022-07-15,4.95195
2022-07-16,1.84774
2022-07-17,0.36954
2022-07-18,2.66075
2022-07-19,2.36511
2022-07-20,2.14338
2022-07-21,3.7694
2022-07-22,2.36511
2022-07-23,1.18255
2022-07-24,0.66518
2022-07-25,3.0303
2022-07-26,2.95639
2022-07-27,4.65631
2022-07-28,7.76053
2022-07-29,3.0303
2022-07-30,1.18255
2022-07-31,0.88691
2022-08-01,2.21729
2022-08-02,2.2912
2022-08-03,2.21729
2022-08-04,4.13895
2022-08-05,2.51293
2022-08-06,0.59127
2022-08-07,0.73909
2022-08-08,3.17812
2022-08-09,3.62158
2022-08-10,3.25203
2022-08-11,2.73466
2022-08-12,1.84774
2022-08-13,0.59127
2022-08-14,1.10864
2022-08-15,0.96082
2022-08-16,2.2912
2022-08-17,2.88248
2022-08-18,1.92165
2022-08-19,1.62601
2022-08-20,0.96082
2022-08-21,0.813
2022-08-22,3.99113
2022-08-23,2.51293
2022-08-24,2.80857
2022-08-25,1.62601
2022-08-26,2.43902
2022-08-27,0.73909
2022-08-28,0.813
2022-08-29,2.36511
2022-08-30,2.88248
2022-08-31,2.80857
2022-09-01,2.2912
2022-09-02,1.84774
2022-09-03,0.36954
2022-09-04,0.73909
2022-09-05,1.62601
2022-09-06,2.21729
2022-09-07,1.84774
2022-09-08,1.99556
2022-09-09,0.813
2022-09-10,0.73909
2022-09-11,0.96082
2022-09-12,1.18255
2022-09-13,2.36511
2022-09-14,3.39985
2022-09-15,1.77383
2022-09-16,2.2912
2022-09-17,0.73909
2022-09-18,1.10864
2022-09-19,1.77383
2022-09-20,2.88248
2022-09-21,2.88248
2022-09-22,2.43902
2022-09-23,2.06947
2022-09-24,0.51736
2022-09-25,1.03473
2022-09-26,2.88248
2022-09-27,2.88248
2022-09-28,2.43902
2022-09-29,3.91722
2022-09-30,4.50849
2022-10-01,2.06947
2022-10-02,1.10864
2022-10-03,1.5521
2022-10-04,4.06504
2022-10-05,4.28677
