date,반도체대장주
2022-10-19,0.861
2022-10-21,0.861
2022-10-24,0.615
2022-10-25,2.21402
2022-10-26,2.33702
2022-10-27,1.47601
2022-10-28,0.615
2022-10-29,0.615
2022-10-31,1.23001
2022-11-01,0.738
2022-11-02,0.861
2022-11-03,1.10701
2022-11-04,0.984
2022-11-07,3.44403
2022-11-08,3.69003
2022-11-09,2.46002
2022-11-11,5.78105
2022-11-12,1.72201
2022-11-13,1.84501
2022-11-14,1.47601
2022-11-15,4.67404
2022-11-16,2.58302
2022-11-17,0.984
2022-11-18,2.09102
2022-11-19,1.47601
2022-11-20,0.861
2022-11-21,0.984
2022-11-22,0.738
2022-11-23,1.96801
2022-11-24,1.72201
2022-11-25,1.59901
2022-11-27,0.984
2022-11-28,2.09102
2022-11-30,1.84501
2022-12-01,2.09102
2022-12-02,1.59901
2022-12-03,0.984
2022-12-05,1.35301
2022-12-06,0.615
2022-12-07,1.59901
2022-12-08,1.72201
2022-12-09,2.95202
2022-12-10,1.23001
2022-12-11,0.861
2022-12-12,1.72201
2022-12-13,1.96801
2022-12-14,2.33702
2022-12-15,1.35301
2022-12-16,0.984
2022-12-17,0.984
2022-12-18,0.738
2022-12-19,0.738
2022-12-21,0.861
2022-12-23,1.23001
2022-12-24,1.72201
2022-12-26,1.84501
2022-12-27,0.984
2022-12-28,0.984
2022-12-29,0.984
2022-12-30,1.10701
2022-12-31,1.10701
2023-01-01,2.09102
2023-01-02,2.95202
2023-01-03,3.56703
2023-01-04,4.18204
2023-01-05,1.72201
2023-01-06,1.84501
2023-01-07,2.58302
2023-01-08,1.72201
2023-01-09,1.35301
2023-01-10,1.35301
2023-01-11,3.07503
2023-01-12,1.10701
2023-01-13,1.84501
2023-01-14,0.738
2023-01-15,1.23001
2023-01-16,1.59901
2023-01-17,2.33702
2023-01-18,1.23001
2023-01-19,2.33702
2023-01-20,1.84501
2023-01-22,2.21402
2023-01-23,0.615
2023-01-24,2.70602
2023-01-25,3.44403
2023-01-26,7.38007
2023-01-27,3.44403
2023-01-28,0.984
2023-01-29,1.72201
2023-01-30,2.09102
2023-01-31,2.33702
2023-02-01,3.19803
2023-02-02,7.01107
2023-02-03,3.93603
2023-02-04,2.09102
2023-02-05,3.44403
2023-02-06,0.738
2023-02-07,1.96801
2023-02-08,3.93603
2023-02-09,3.69003
2023-02-10,2.46002
2023-02-11,0.861
2023-02-12,1.59901
2023-02-13,2.82902
2023-02-14,5.41205
2023-02-15,4.18204
2023-02-16,4.05904
2023-02-17,3.07503
2023-02-19,1.72201
2023-02-20,2.33702
2023-02-21,3.07503
2023-02-22,2.46002
2023-02-23,3.56703
2023-02-24,4.79704
2023-02-25,2.21402
2023-02-26,1.59901
2023-02-27,2.70602
2023-02-28,2.70602
2023-03-01,3.32103
2023-03-02,3.69003
2023-03-03,2.09102
2023-03-04,1.47601
2023-03-05,3.69003
2023-03-06,5.28905
2023-03-07,4.55104
2023-03-08,4.42804
2023-03-09,4.55104
2023-03-10,2.70602
2023-03-11,2.33702
2023-03-12,0.615
2023-03-13,1.84501
2023-03-14,2.09102
2023-03-15,7.74907
2023-03-16,11.56211
2023-03-17,14.39114
2023-03-18,8.11808
2023-03-19,7.13407
2023-03-20,9.10209
2023-03-21,4.92004
2023-03-22,8.73308
2023-03-23,8.24108
2023-03-24,31.24231
2023-03-25,18.94218
2023-03-26,14.63714
2023-03-27,19.55719
2023-03-28,19.06519
2023-03-29,20.5412
2023-03-30,33.70233
2023-03-31,24.84624
2023-04-01,9.71709
2023-04-02,12.54612
2023-04-03,13.03813
2023-04-04,10.5781
2023-04-05,9.10209
2023-04-06,7.50307
2023-04-07,10.0861
2023-04-08,9.84009
2023-04-09,7.13407
2023-04-10,13.89913
2023-04-11,22.50922
2023-04-12,11.31611
2023-04-13,7.50307
2023-04-14,7.62607
2023-04-15,4.55104
2023-04-16,5.28905
2023-04-17,6.39606
2023-04-18,7.01107
2023-04-19,7.38007
2023-04-20,5.28905
2023-04-21,7.25707
2023-04-22,2.70602
2023-04-23,3.69003
2023-04-24,4.67404
2023-04-25,3.32103
2023-04-26,3.32103
2023-04-27,4.18204
2023-04-28,4.30504
2023-04-29,2.82902
2023-04-30,3.56703
2023-05-01,4.42804
2023-05-02,4.55104
2023-05-03,3.93603
2023-05-04,3.69003
2023-05-05,4.30504
2023-05-06,1.47601
2023-05-07,2.82902
2023-05-08,5.41205
2023-05-09,4.30504
2023-05-10,2.70602
2023-05-11,1.59901
2023-05-12,3.69003
2023-05-13,1.47601
2023-05-14,2.33702
2023-05-15,3.44403
2023-05-16,6.27306
2023-05-17,3.93603
2023-05-18,7.38007
2023-05-19,22.63222
2023-05-20,7.99507
2023-05-21,10.4551
2023-05-22,15.25215
2023-05-23,7.38007
2023-05-24,6.02706
2023-05-25,10.3321
2023-05-26,12.79212
2023-05-27,7.01107
2023-05-28,8.24108
2023-05-29,8.48708
2023-05-30,12.42312
2023-05-31,9.22509
2023-06-01,6.15006
2023-06-02,7.01107
2023-06-03,5.41205
2023-06-04,5.16605
2023-06-05,4.55104
2023-06-06,4.05904
2023-06-07,5.65805
2023-06-08,4.79704
2023-06-09,6.02706
2023-06-10,3.19803
2023-06-11,3.44403
2023-06-12,4.05904
2023-06-13,8.24108
2023-06-14,9.71709
2023-06-15,9.22509
2023-06-16,6.02706
2023-06-17,3.44403
2023-06-18,3.56703
2023-06-19,5.53505
2023-06-20,5.04305
2023-06-21,4.30504
2023-06-22,3.93603
2023-06-23,4.42804
2023-06-24,1.96801
2023-06-25,3.69003
2023-06-26,4.55104
2023-06-27,3.69003
2023-06-28,5.41205
2023-06-29,5.28905
2023-06-30,4.18204
2023-07-01,3.07503
2023-07-02,4.05904
2023-07-03,6.51906
2023-07-04,8.48708
2023-07-05,10.9471
2023-07-06,8.48708
2023-07-07,7.87207
2023-07-08,6.02706
2023-07-09,6.88806
2023-07-10,4.79704
2023-07-11,6.27306
2023-07-12,5.90405
2023-07-13,13.40713
2023-07-14,12.42312
2023-07-15,7.74907
2023-07-16,5.78105
2023-07-17,6.27306
2023-07-18,10.4551
2023-07-19,9.47109
2023-07-20,7.13407
2023-07-21,5.65805
2023-07-22,4.92004
