date,특판예금
2022-09-07,20.87809
2022-09-08,18.49602
2022-09-09,8.26716
2022-09-10,6.91265
2022-09-11,10.36898
2022-09-12,12.56422
2022-09-13,31.85427
2022-09-14,30.03269
2022-09-15,27.83745
2022-09-16,24.70808
2022-09-17,13.35824
2022-09-18,12.89117
2022-09-19,25.87575
2022-09-20,23.96076
2022-09-21,22.83979
2022-09-22,29.05184
2022-09-23,28.86501
2022-09-24,15.31994
2022-09-25,12.84446
2022-09-26,29.37879
2022-09-27,28.53806
2022-09-28,27.37038
2022-09-29,33.16207
2022-09-30,35.77767
2022-10-01,23.5871
2022-10-02,23.02662
2022-10-03,27.60392
2022-10-04,48.71555
2022-10-05,44.97898
2022-10-06,47.0808
2022-10-07,49.22933
2022-10-08,21.71882
2022-10-09,24.10088
2022-10-10,24.8482
2022-10-11,48.99579
2022-10-12,65.71695
2022-10-13,77.34703
2022-10-14,74.91826
2022-10-15,44.41849
2022-10-16,37.22559
2022-10-17,82.3914
2022-10-18,78.93507
2022-10-19,77.95422
2022-10-20,63.38159
2022-10-21,62.82111
2022-10-22,31.80756
2022-10-23,29.4255
2022-10-24,67.67865
2022-10-25,73.14339
2022-10-26,69.54694
2022-10-27,77.48715
2022-10-28,66.88463
2022-10-29,37.36571
2022-10-30,33.06865
2022-10-31,80.24287
2022-11-01,78.93507
2022-11-02,100.0
2022-11-03,83.46567
2022-11-04,70.94815
2022-11-05,33.95609
2022-11-06,36.05791
2022-11-07,72.25595
2022-11-08,62.26062
2022-11-09,64.40915
2022-11-10,63.05464
2022-11-11,50.25688
2022-11-12,29.19196
2022-11-13,32.41475
2022-11-14,71.74217
2022-11-15,68.33255
2022-11-16,60.43904
2022-11-17,63.28818
2022-11-18,54.18028
2022-11-19,31.71415
2022-11-20,29.93928
2022-11-21,64.12891
2022-11-22,67.02475
2022-11-23,65.53012
2022-11-24,75.47874
2022-11-25,76.08594
2022-11-26,39.98131
2022-11-27,41.28911
2022-11-28,90.79869
2022-11-29,76.31947
2022-11-30,61.70014
2022-12-01,62.82111
2022-12-02,56.2354
2022-12-03,24.61466
2022-12-04,28.91172
2022-12-05,57.82344
2022-12-06,53.24614
2022-12-07,59.45819
2022-12-08,54.64736
2022-12-09,47.31433
2022-12-10,25.59551
2022-12-11,26.24941
2022-12-12,46.47361
2022-12-13,42.08313
2022-12-14,40.40168
2022-12-15,40.02802
2022-12-16,40.21485
2022-12-17,19.94395
2022-12-18,20.17748
2022-12-19,43.57776
2022-12-20,49.18262
2022-12-21,46.56702
2022-12-22,43.01728
2022-12-23,39.74778
2022-12-24,23.30686
2022-12-25,23.72723
2022-12-26,42.26996
2022-12-27,39.8879
2022-12-28,36.71181
2022-12-29,39.18729
2022-12-30,40.12143
2022-12-31,21.95235
2023-01-01,30.1261
2023-01-02,51.33115
2023-01-03,43.90471
2023-01-04,43.67118
2023-01-05,44.13825
2023-01-06,40.30826
2023-01-07,23.5871
2023-01-08,22.37272
2023-01-09,41.33582
2023-01-10,49.74311
2023-01-11,39.14058
2023-01-12,34.60999
2023-01-13,47.0808
2023-01-14,22.2326
2023-01-15,23.12003
2023-01-16,42.92386
2023-01-17,43.11069
2023-01-18,37.319
2023-01-19,33.62914
2023-01-20,35.82438
2023-01-21,20.73797
2023-01-22,15.64689
2023-01-23,15.97384
2023-01-24,22.18589
2023-01-25,42.59691
2023-01-26,38.34656
2023-01-27,38.95375
2023-01-28,28.25782
2023-01-29,26.10929
2023-01-30,42.03643
2023-01-31,39.09388
2023-02-01,30.7333
2023-02-02,35.12377
2023-02-03,29.37879
2023-02-04,17.32835
2023-02-05,16.58103
2023-02-06,32.41475
2023-02-07,24.98832
2023-02-08,27.93087
2023-02-09,25.36198
2023-02-10,24.42783
2023-02-11,12.89117
2023-02-12,13.26482
2023-02-13,26.43624
2023-02-14,24.14759
2023-02-15,23.86735
2023-02-16,20.83138
2023-02-17,20.45773
2023-02-18,11.91032
2023-02-19,13.91872
2023-02-20,24.80149
2023-02-21,22.32601
2023-02-22,18.9631
2023-02-23,23.16674
2023-02-24,22.55955
2023-02-25,12.89117
2023-02-26,13.7319
2023-02-27,22.46613
2023-02-28,19.99065
2023-03-01,15.27323
2023-03-02,19.43017
2023-03-03,17.0014
2023-03-04,11.1163
2023-03-05,13.26482
2023-03-06,22.79308
2023-03-07,19.38346
2023-03-08,18.77627
2023-03-09,19.10322
2023-03-10,16.16067
2023-03-11,10.60252
2023-03-12,9.52825
2023-03-13,17.0014
2023-03-14,17.42176
2023-03-15,18.16907
2023-03-16,18.07566
2023-03-17,14.89957
2023-03-18,9.2013
2023-03-19,8.92106
2023-03-20,20.08407
2023-03-21,18.82297
2023-03-22,17.88883
2023-03-23,19.94395
2023-03-24,18.72956
2023-03-25,12.4708
2023-03-26,10.78935
2023-03-27,21.39187
2023-03-28,20.64455
2023-03-29,19.0098
2023-03-30,18.40261
2023-03-31,17.56188
2023-04-01,8.73423
2023-04-02,8.5474
2023-04-03,17.0014
2023-04-04,23.12003
2023-04-05,19.617
2023-04-06,16.58103
2023-04-07,14.94628
2023-04-08,8.26716
2023-04-09,7.2396
2023-04-10,14.66604
2023-04-11,15.55347
2023-04-12,15.97384
2023-04-13,17.79542
2023-04-14,13.35824
2023-04-15,7.56655
2023-04-16,7.8935
2023-04-17,16.3942
2023-04-18,16.16067
2023-04-19,15.46006
2023-04-20,13.91872
2023-04-21,11.44325
2023-04-22,6.67912
2023-04-23,7.94021
2023-04-24,15.0397
2023-04-25,17.60859
2023-04-26,16.02055
2023-04-27,15.64689
2023-04-28,12.19056
2023-04-29,8.12704
2023-04-30,7.42643
2023-05-01,10.36898
2023-05-02,14.29238
2023-05-03,15.55347
2023-05-04,14.10555
2023-05-05,8.22045
2023-05-06,6.67912
2023-05-07,7.28631
2023-05-08,14.71275
2023-05-09,13.1247
2023-05-10,12.98458
2023-05-11,13.49836
2023-05-12,11.86361
2023-05-13,6.44558
2023-05-14,6.77253
2023-05-15,13.87202
2023-05-16,13.40495
2023-05-17,13.96543
2023-05-18,12.75105
2023-05-19,11.34983
2023-05-20,7.05277
2023-05-21,6.67912
2023-05-22,12.00373
2023-05-23,12.84446
2023-05-24,13.54507
2023-05-25,14.01214
2023-05-26,10.64922
2023-05-27,6.35217
