date,진료기록지
2022-03-25,30.45977
2022-03-26,14.94252
2022-03-27,6.89655
2022-03-28,37.35632
2022-03-29,43.10344
2022-03-30,45.40229
2022-03-31,44.25287
2022-04-01,36.20689
2022-04-02,20.11494
2022-04-03,8.62068
2022-04-04,48.27586
2022-04-05,42.52873
2022-04-06,35.05747
2022-04-07,49.42528
2022-04-08,35.63218
2022-04-09,11.49425
2022-04-10,6.89655
2022-04-11,45.97701
2022-04-12,50.0
2022-04-13,45.40229
2022-04-14,47.70114
2022-04-15,40.80459
2022-04-16,13.21839
2022-04-17,9.77011
2022-04-18,51.72413
2022-04-19,50.0
2022-04-20,51.14942
2022-04-21,47.12643
2022-04-22,37.35632
2022-04-23,18.96551
2022-04-24,9.77011
2022-04-25,52.29885
2022-04-26,42.52873
2022-04-27,37.93103
2022-04-28,46.55172
2022-04-29,36.7816
2022-04-30,14.36781
2022-05-01,13.21839
2022-05-02,47.70114
2022-05-03,68.96551
2022-05-04,32.75862
2022-05-05,13.21839
2022-05-06,48.27586
2022-05-07,16.66666
2022-05-08,11.49425
2022-05-09,64.94252
2022-05-10,50.0
2022-05-11,61.49425
2022-05-12,45.40229
2022-05-13,56.89655
2022-05-14,16.09195
2022-05-15,14.94252
2022-05-16,48.85057
2022-05-17,56.32183
2022-05-18,35.05747
2022-05-19,46.55172
2022-05-20,39.08045
2022-05-21,18.3908
2022-05-22,9.77011
2022-05-23,54.02298
2022-05-24,37.35632
2022-05-25,43.10344
2022-05-26,44.82758
2022-05-27,32.1839
2022-05-28,17.81609
2022-05-29,6.89655
2022-05-30,46.55172
2022-05-31,46.55172
2022-06-01,16.09195
2022-06-02,52.29885
2022-06-03,44.82758
2022-06-04,18.3908
2022-06-05,8.62068
2022-06-06,17.24137
2022-06-07,58.04597
2022-06-08,63.7931
2022-06-09,61.49425
2022-06-10,57.47126
2022-06-11,12.64367
2022-06-12,11.49425
2022-06-13,51.14942
2022-06-14,59.1954
2022-06-15,53.44827
2022-06-16,53.44827
2022-06-17,45.97701
2022-06-18,15.51724
2022-06-19,10.34482
2022-06-20,52.87356
2022-06-21,59.77011
2022-06-22,50.57471
2022-06-23,49.42528
2022-06-24,55.74712
