date,해외주식수수료비교
2023-02-01,9.84081
2023-02-02,15.05065
2023-02-03,13.16931
2023-02-04,8.10419
2023-02-05,6.5123
2023-02-06,7.3806
2023-02-07,10.85383
2023-02-08,9.84081
2023-02-09,10.13024
2023-02-10,11.4327
2023-02-11,7.3806
2023-02-12,5.93342
2023-02-13,9.26193
2023-02-14,13.0246
2023-02-15,13.31403
2023-02-16,13.31403
2023-02-17,10.85383
2023-02-18,5.93342
2023-02-19,4.9204
2023-02-20,6.65701
2023-02-21,9.84081
2023-02-22,7.3806
2023-02-23,8.39363
2023-02-24,8.24891
2023-02-25,5.49927
2023-02-26,3.03907
2023-02-27,7.95947
2023-02-28,7.95947
2023-03-01,6.22286
2023-03-02,6.80173
2023-03-03,5.49927
2023-03-04,4.48625
2023-03-05,4.77568
2023-03-06,6.36758
2023-03-07,4.19681
2023-03-08,5.93342
2023-03-09,4.48625
2023-03-10,5.64399
2023-03-11,1.88133
2023-03-12,3.18379
2023-03-13,5.20984
2023-03-14,7.67004
2023-03-15,7.23589
2023-03-16,7.09117
2023-03-17,6.65701
2023-03-18,4.48625
2023-03-19,5.64399
2023-03-20,5.93342
2023-03-21,5.64399
2023-03-22,7.52532
2023-03-23,8.53835
2023-03-24,8.39363
2023-03-25,6.80173
2023-03-26,3.18379
2023-03-27,4.34153
2023-03-28,6.65701
2023-03-29,5.49927
2023-03-30,7.81476
2023-03-31,4.48625
2023-04-01,5.64399
2023-04-02,3.61794
2023-04-03,2.4602
2023-04-04,4.63096
2023-04-05,8.53835
2023-04-06,5.64399
2023-04-07,5.49927
2023-04-08,1.73661
2023-04-09,2.4602
2023-04-10,6.07814
2023-04-11,5.93342
2023-04-12,5.93342
2023-04-13,3.47322
2023-04-14,5.20984
2023-04-15,4.9204
2023-04-16,2.02604
2023-04-17,3.90738
2023-04-18,7.09117
2023-04-19,6.36758
2023-04-20,2.60492
2023-04-21,4.34153
2023-04-22,3.61794
2023-04-23,2.74963
2023-04-24,4.19681
2023-04-25,4.19681
2023-04-26,4.19681
2023-04-27,2.89435
2023-04-28,6.80173
2023-04-29,2.74963
2023-04-30,2.60492
2023-05-01,2.74963
2023-05-02,4.48625
2023-05-03,5.06512
2023-05-04,6.65701
2023-05-05,5.35455
2023-05-06,2.89435
2023-05-07,2.4602
2023-05-08,7.23589
2023-05-09,5.78871
2023-05-10,4.77568
2023-05-11,5.93342
2023-05-12,5.06512
2023-05-13,2.31548
2023-05-14,1.88133
2023-05-15,3.3285
2023-05-16,4.63096
2023-05-17,7.09117
2023-05-18,6.5123
2023-05-19,8.68306
2023-05-20,4.19681
2023-05-21,3.03907
2023-05-22,5.20984
2023-05-23,7.67004
2023-05-24,5.35455
2023-05-25,5.78871
2023-05-26,7.95947
2023-05-27,8.10419
2023-05-28,7.09117
2023-05-29,4.19681
2023-05-30,8.82778
