date,WTI유가
2022-06-30,0.82682
2022-07-01,0.87812
2022-07-02,0.35809
2022-07-03,0.16898
2022-07-04,0.69505
2022-07-05,0.90629
2022-07-06,1.86489
2022-07-07,1.33479
2022-07-08,1.10143
2022-07-09,0.43051
2022-07-10,0.19715
2022-07-11,0.90931
2022-07-12,1.09841
2022-07-13,1.43035
2022-07-14,1.15172
2022-07-15,1.12456
2022-07-16,0.43755
2022-07-17,0.24945
2022-07-18,1.01492
2022-07-19,1.28953
2022-07-20,1.30461
2022-07-21,1.18391
2022-07-22,0.97368
2022-07-23,0.36814
2022-07-24,0.17703
2022-07-25,0.83286
2022-07-26,0.81576
2022-07-27,0.80771
2022-07-28,0.84493
2022-07-29,0.74132
2022-07-30,0.3772
2022-07-31,0.14384
2022-08-01,0.72322
2022-08-02,0.96161
2022-08-03,0.83386
2022-08-04,1.09439
2022-08-05,1.18793
2022-08-06,0.41442
2022-08-07,0.18809
2022-08-08,0.83889
2022-08-09,0.88919
2022-08-10,0.83386
2022-08-11,0.94552
2022-08-12,0.86706
2022-08-13,0.33897
2022-08-14,0.14685
2022-08-15,0.50696
2022-08-16,0.99581
2022-08-17,1.03403
2022-08-18,0.90226
2022-08-19,0.84996
2022-08-20,0.3259
2022-08-21,0.14384
2022-08-22,0.72322
2022-08-23,0.91735
2022-08-24,0.89623
2022-08-25,0.87108
2022-08-26,0.77955
2022-08-27,0.30779
2022-08-28,0.14384
2022-08-29,0.63168
2022-08-30,0.82783
2022-08-31,0.96865
2022-09-01,0.95759
2022-09-02,0.92842
2022-09-03,0.34903
2022-09-04,0.14987
2022-09-05,0.67091
2022-09-06,0.857
2022-09-07,0.90428
2022-09-08,0.92942
2022-09-09,0.61458
2022-09-10,0.33193
2022-09-11,0.16898
2022-09-12,0.48382
2022-09-13,0.92238
2022-09-14,0.88014
2022-09-15,0.90528
2022-09-16,0.84996
2022-09-17,0.33395
2022-09-18,0.14886
2022-09-19,0.62163
2022-09-20,0.74233
2022-09-21,0.7373
2022-09-22,0.79162
2022-09-23,0.73831
2022-09-24,0.4295
2022-09-25,0.16496
2022-09-26,0.83789
2022-09-27,0.91433
2022-09-28,0.80067
2022-09-29,0.79061
2022-09-30,0.78558
2022-10-01,0.44258
2022-10-02,0.21827
2022-10-03,0.90226
2022-10-04,1.4907
2022-10-05,1.77536
2022-10-06,2.04091
2022-10-07,1.51484
2022-10-08,0.83085
2022-10-09,0.34602
2022-10-10,1.04711
2022-10-11,1.62247
2022-10-12,1.46354
2022-10-13,1.56413
2022-10-14,1.33781
2022-10-15,0.59547
2022-10-16,0.29673
2022-10-17,1.09439
2022-10-18,1.23219
2022-10-19,1.41023
2022-10-20,1.22515
2022-10-21,1.12959
2022-10-22,0.52305
2022-10-23,0.20218
2022-10-24,0.90931
2022-10-25,0.92037
2022-10-26,0.92942
2022-10-27,1.11652
2022-10-28,0.96765
2022-10-29,0.42649
2022-10-30,0.19011
2022-10-31,0.78458
2022-11-01,0.96765
2022-11-02,1.21409
2022-11-03,1.17989
2022-11-04,1.22917
2022-11-05,0.6508
2022-11-06,0.29673
2022-11-07,1.27846
2022-11-08,1.32775
2022-11-09,1.24124
2022-11-10,1.2332
2022-11-11,1.27846
2022-11-12,0.50997
2022-11-13,0.2404
2022-11-14,0.99078
2022-11-15,1.16379
2022-11-16,1.02096
2022-11-17,0.94954
2022-11-18,1.16983
2022-11-19,0.55323
2022-11-20,0.20016
2022-11-21,0.95356
2022-11-22,1.17083
2022-11-23,1.01895
2022-11-24,1.19799
2022-11-25,0.86505
2022-11-26,0.43353
2022-11-27,0.24241
2022-11-28,1.2342
2022-11-29,1.36497
2022-11-30,1.08835
2022-12-01,1.0793
2022-12-02,0.87511
2022-12-03,0.41743
2022-12-04,0.24744
2022-12-05,0.95256
2022-12-06,1.24829
2022-12-07,1.28852
2022-12-08,1.45147
2022-12-09,1.32875
2022-12-10,0.61257
2022-12-11,0.31785
2022-12-12,1.02196
2022-12-13,1.28349
2022-12-14,1.12557
2022-12-15,1.08735
2022-12-16,0.9083
2022-12-17,0.3953
2022-12-18,0.18005
2022-12-19,0.71417
2022-12-20,0.84091
2022-12-21,0.79665
2022-12-22,0.88416
2022-12-23,0.89321
2022-12-24,0.42045
2022-12-25,0.19614
2022-12-26,0.57938
2022-12-27,0.88919
2022-12-28,0.90931
2022-12-29,0.82984
2022-12-30,0.52305
2022-12-31,0.34602
2023-01-01,0.21525
2023-01-02,0.5834
2023-01-03,0.76949
2023-01-04,0.94552
2023-01-05,1.21811
2023-01-06,0.91031
2023-01-07,0.4124
2023-01-08,0.24643
2023-01-09,0.79262
2023-01-10,0.82582
2023-01-11,0.80972
