date,주식세금
2021-09-28,7.9762
2021-09-29,7.38132
2021-09-30,16.18307
2021-10-01,9.44518
2021-10-02,5.7788
2021-10-03,4.61333
2021-10-04,5.13536
2021-10-05,7.87908
2021-10-06,9.04455
2021-10-07,8.71676
2021-10-08,8.76532
2021-10-09,5.32961
2021-10-10,4.84399
2021-10-11,5.30532
2021-10-12,8.31613
2021-10-13,7.63627
2021-10-14,8.38897
2021-10-15,8.70462
2021-10-16,5.15964
2021-10-17,4.38266
2021-10-18,7.66055
2021-10-19,9.20237
2021-10-20,8.99599
2021-10-21,7.86694
2021-10-22,7.9155
2021-10-23,4.88041
2021-10-24,5.62097
2021-10-25,7.8548
2021-10-26,10.39213
2021-10-27,10.84132
2021-10-28,9.44518
2021-10-29,9.32378
2021-10-30,5.34175
2021-10-31,5.39031
2021-11-01,8.64392
2021-11-02,10.99915
2021-11-03,11.679
2021-11-04,10.81704
2021-11-05,9.77297
2021-11-06,5.99732
2021-11-07,5.48743
2021-11-08,10.06434
2021-11-09,10.96272
2021-11-10,8.75318
2021-11-11,10.10076
2021-11-12,9.53016
2021-11-13,6.03375
2021-11-14,6.4708
2021-11-15,11.26623
2021-11-16,11.50904
2021-11-17,13.77928
2021-11-18,12.05535
2021-11-19,11.21767
2021-11-20,7.07781
2021-11-21,7.86694
2021-11-22,10.39213
2021-11-23,9.60301
2021-11-24,9.17809
2021-11-25,9.61515
2021-11-26,8.76532
2021-11-27,4.58904
2021-11-28,4.3948
2021-11-29,7.41774
2021-11-30,8.91101
2021-12-01,7.9155
2021-12-02,8.07332
2021-12-03,8.26757
2021-12-04,4.75901
2021-12-05,4.00631
2021-12-06,7.02925
2021-12-07,7.9155
2021-12-08,8.12188
2021-12-09,9.88223
2021-12-10,7.79409
2021-12-11,5.37817
2021-12-12,5.60883
2021-12-13,8.07332
2021-12-14,7.41774
2021-12-15,7.78195
2021-12-16,8.24329
2021-12-17,6.75003
2021-12-18,4.09129
2021-12-19,4.47978
2021-12-20,11.25409
2021-12-21,8.87459
2021-12-22,9.90651
2021-12-23,9.60301
2021-12-24,10.90202
2021-12-25,5.13536
2021-12-26,7.2235
2021-12-27,13.22083
2021-12-28,16.94791
2021-12-29,14.11921
2021-12-30,11.83683
2021-12-31,8.04904
2022-01-01,5.34175
2022-01-02,5.15964
2022-01-03,8.74104
2022-01-04,9.27522
2022-01-05,8.00048
2022-01-06,6.38582
2022-01-07,6.55578
2022-01-08,4.10343
2022-01-09,5.09894
2022-01-10,6.45866
2022-01-11,6.90785
2022-01-12,6.62862
2022-01-13,6.4101
2022-01-14,5.09894
2022-01-15,3.45999
2022-01-16,3.35073
2022-01-17,5.7181
2022-01-18,6.11873
2022-01-19,6.17943
2022-01-20,7.25992
2022-01-21,5.99732
2022-01-22,3.29003
2022-01-23,3.5814
2022-01-24,4.97754
2022-01-25,5.24462
2022-01-26,5.29318
2022-01-27,10.08862
2022-01-28,6.81073
2022-01-29,3.29003
2022-01-30,2.92582
2022-01-31,5.99732
2022-02-01,5.87592
2022-02-02,4.69831
2022-02-03,8.30399
2022-02-04,7.62413
2022-02-05,3.93347
2022-02-06,3.7028
2022-02-07,7.23564
2022-02-08,5.80308
2022-02-09,5.93662
2022-02-10,5.2082
2022-02-11,5.11108
2022-02-12,2.74371
2022-02-13,2.57375
2022-02-14,4.34624
2022-02-15,4.18841
2022-02-16,5.24462
2022-02-17,5.01396
2022-02-18,4.20055
2022-02-19,2.59803
2022-02-20,2.41592
2022-02-21,5.80308
2022-02-22,5.65739
2022-02-23,4.74687
2022-02-24,4.94111
2022-02-25,5.42673
2022-02-26,2.86512
2022-02-27,2.27024
2022-02-28,3.95775
2022-03-01,3.54497
2022-03-02,4.3948
2022-03-03,5.30532
2022-03-04,5.12322
2022-03-05,2.70729
2022-03-06,2.28238
2022-03-07,4.00631
2022-03-08,4.44336
2022-03-09,2.74371
2022-03-10,6.58006
2022-03-11,5.41459
2022-03-12,3.12006
2022-03-13,3.12006
2022-03-14,4.06701
2022-03-15,3.8849
2022-03-16,5.40245
2022-03-17,5.37817
2022-03-18,5.25676
2022-03-19,3.33859
2022-03-20,2.65873
2022-03-21,4.13985
2022-03-22,4.84399
2022-03-23,6.5922
2022-03-24,5.63311
2022-03-25,6.76217
2022-03-26,3.21719
2022-03-27,2.92582
2022-03-28,4.83185
2022-03-29,6.0216
2022-03-30,6.44652
2022-03-31,5.54813
2022-04-01,5.00182
2022-04-02,2.9501
2022-04-03,2.59803
2022-04-04,5.39031
2022-04-05,5.9002
2022-04-06,4.94111
2022-04-07,4.30982
2022-04-08,3.71494
2022-04-09,2.4402
2022-04-10,2.12455
2022-04-11,3.7635
2022-04-12,3.77564
2022-04-13,4.21269
2022-04-14,3.86062
2022-04-15,3.81206
2022-04-16,2.17312
2022-04-17,1.85747
2022-04-18,3.87276
2022-04-19,4.86827
2022-04-20,4.95325
2022-04-21,5.22034
2022-04-22,4.16413
2022-04-23,2.02743
2022-04-24,2.1367
2022-04-25,3.73922
2022-04-26,4.72259
2022-04-27,4.94111
2022-04-28,4.67403
2022-04-29,4.05487
2022-04-30,2.20954
2022-05-01,2.61017
2022-05-02,4.15199
2022-05-03,4.81971
2022-05-04,3.90919
2022-05-05,2.4402
2022-05-06,2.81655
2022-05-07,1.77248
2022-05-08,1.69964
2022-05-09,2.99866
2022-05-10,3.55712
2022-05-11,4.37052
2022-05-12,4.40694
2022-05-13,3.43571
2022-05-14,2.08813
2022-05-15,2.00315
2022-05-16,3.53283
2022-05-17,4.01845
2022-05-18,3.87276
2022-05-19,3.78778
2022-05-20,3.87276
2022-05-21,1.91817
2022-05-22,1.90603
2022-05-23,2.97438
2022-05-24,2.86512
2022-05-25,2.92582
2022-05-26,3.1322
2022-05-27,2.93796
2022-05-28,2.29452
2022-05-29,1.72392
2022-05-30,3.96989
2022-05-31,3.55712
2022-06-01,1.90603
2022-06-02,3.04722
2022-06-03,2.85298
2022-06-04,1.67536
2022-06-05,1.52968
2022-06-06,1.78463
2022-06-07,2.75585
2022-06-08,2.73157
2022-06-09,2.93796
2022-06-10,2.3188
2022-06-11,1.27473
2022-06-12,1.54182
2022-06-13,2.65873
2022-06-14,3.14434
2022-06-15,3.0108
2022-06-16,3.69066
2022-06-17,4.21269
2022-06-18,1.93031
2022-06-19,1.31115
2022-06-20,3.08364
2022-06-21,2.53733
2022-06-22,2.58589
2022-06-23,2.2581
2022-06-24,2.54947
2022-06-25,1.61466
2022-06-26,1.48112
2022-06-27,2.61017
2022-06-28,2.58589
2022-06-29,2.4402
2022-06-30,2.29452
2022-07-01,2.11241
2022-07-02,1.18975
2022-07-03,1.16547
2022-07-04,2.18526
2022-07-05,2.33094
2022-07-06,2.61017
2022-07-07,2.62231
2022-07-08,2.1974
2022-07-09,1.42042
2022-07-10,1.59038
2022-07-11,2.24596
2022-07-12,2.2581
2022-07-13,1.82105
2022-07-14,2.08813
2022-07-15,2.62231
2022-07-16,1.22617
2022-07-17,1.52968
2022-07-18,3.21719
2022-07-19,2.84084
2022-07-20,2.96224
2022-07-21,3.56926
2022-07-22,3.59354
2022-07-23,1.77248
2022-07-24,1.29901
2022-07-25,2.50091
2022-07-26,2.70729
2022-07-27,2.57375
2022-07-28,2.57375
2022-07-29,3.0715
2022-07-30,1.42042
2022-07-31,1.76034
2022-08-01,2.30666
2022-08-02,2.35522
2022-08-03,2.73157
2022-08-04,3.53283
2022-08-05,3.12006
2022-08-06,1.86961
2022-08-07,1.45684
2022-08-08,2.81655
2022-08-09,2.90154
2022-08-10,2.79227
2022-08-11,3.52069
2022-08-12,3.03508
2022-08-13,1.51754
2022-08-14,1.6268
2022-08-15,1.79677
2022-08-16,3.73922
2022-08-17,2.90154
2022-08-18,3.1322
2022-08-19,2.62231
2022-08-20,1.59038
2022-08-21,1.31115
2022-08-22,2.1974
2022-08-23,2.34308
2022-08-24,2.81655
2022-08-25,3.43571
2022-08-26,3.14434
2022-08-27,1.7482
2022-08-28,1.48112
2022-08-29,2.4402
2022-08-30,2.54947
2022-08-31,2.75585
2022-09-01,2.48877
2022-09-02,2.3188
2022-09-03,1.10477
2022-09-04,1.15333
2022-09-05,2.30666
2022-09-06,2.11241
2022-09-07,2.30666
2022-09-08,2.54947
2022-09-09,1.34757
2022-09-10,1.49326
2022-09-11,1.5661
2022-09-12,1.67536
2022-09-13,3.53283
