date,해외주식시간
2022-04-20,9.03409
2022-04-21,10.73863
2022-04-22,9.0909
2022-04-23,4.4034
2022-04-24,2.32954
2022-04-25,9.57386
2022-04-26,9.03409
2022-04-27,12.72727
2022-04-28,8.35227
2022-04-29,10.11363
2022-04-30,4.65909
2022-05-01,3.03977
2022-05-02,9.26136
2022-05-03,8.21022
2022-05-04,6.875
2022-05-05,8.01136
2022-05-06,9.7159
2022-05-07,3.4659
2022-05-08,2.15909
2022-05-09,6.10795
2022-05-10,9.6875
2022-05-11,8.06818
2022-05-12,8.92045
2022-05-13,8.66477
2022-05-14,5.0
2022-05-15,2.61363
2022-05-16,8.97727
2022-05-17,7.2159
2022-05-18,5.9375
2022-05-19,8.21022
2022-05-20,6.76136
2022-05-21,3.94886
2022-05-22,2.41477
2022-05-23,6.81818
2022-05-24,6.50568
2022-05-25,6.78977
2022-05-26,6.2784
2022-05-27,6.5909
2022-05-28,5.59659
2022-05-29,2.44318
2022-05-30,21.22159
2022-05-31,11.2784
2022-06-01,4.34659
2022-06-02,5.71022
2022-06-03,6.16477
2022-06-04,3.4659
2022-06-05,1.73295
2022-06-06,4.46022
2022-06-07,5.48295
2022-06-08,5.71022
2022-06-09,4.80113
2022-06-10,5.90909
2022-06-11,4.65909
2022-06-12,2.15909
2022-06-13,7.98295
2022-06-14,7.98295
2022-06-15,4.94318
2022-06-16,5.25568
2022-06-17,6.2784
2022-06-18,3.06818
2022-06-19,1.64772
2022-06-20,11.10795
2022-06-21,6.5625
2022-06-22,6.10795
2022-06-23,5.14204
2022-06-24,4.77272
2022-06-25,2.98295
2022-06-26,2.30113
2022-06-27,6.36363
2022-06-28,5.6534
2022-06-29,5.11363
2022-06-30,3.97727
2022-07-01,3.66477
2022-07-02,2.10227
2022-07-03,1.02272
2022-07-04,9.23295
2022-07-05,5.79545
2022-07-06,4.31818
2022-07-07,3.97727
2022-07-08,4.54545
2022-07-09,2.75568
2022-07-10,1.07954
2022-07-11,4.54545
2022-07-12,3.94886
2022-07-13,4.4034
2022-07-14,3.38068
2022-07-15,4.00568
2022-07-16,2.13068
2022-07-17,0.99431
2022-07-18,6.16477
2022-07-19,5.05681
2022-07-20,5.90909
2022-07-21,6.05113
2022-07-22,6.19318
2022-07-23,2.35795
2022-07-24,1.5625
2022-07-25,5.51136
2022-07-26,4.57386
2022-07-27,4.23295
2022-07-28,4.54545
2022-07-29,5.59659
2022-07-30,4.0625
2022-07-31,1.70454
2022-08-01,6.73295
2022-08-02,5.9659
2022-08-03,6.02272
2022-08-04,7.30113
2022-08-05,6.42045
2022-08-06,3.89204
2022-08-07,1.42045
2022-08-08,7.01704
2022-08-09,6.19318
2022-08-10,6.13636
2022-08-11,7.89772
2022-08-12,6.9034
2022-08-13,4.80113
2022-08-14,2.78409
2022-08-15,6.36363
2022-08-16,8.69318
2022-08-17,7.64204
2022-08-18,7.5
2022-08-19,5.73863
2022-08-20,3.26704
2022-08-21,1.84659
2022-08-22,5.76704
2022-08-23,5.88068
2022-08-24,4.97159
2022-08-25,6.44886
2022-08-26,5.9659
2022-08-27,3.35227
2022-08-28,1.53409
2022-08-29,6.61931
2022-08-30,5.19886
2022-08-31,5.625
2022-09-01,4.63068
2022-09-02,3.97727
2022-09-03,1.9034
2022-09-04,1.47727
2022-09-05,12.1875
2022-09-06,6.73295
2022-09-07,4.28977
2022-09-08,4.51704
2022-09-09,3.49431
2022-09-10,3.4659
2022-09-11,1.84659
2022-09-12,5.08522
2022-09-13,7.72727
2022-09-14,8.09659
2022-09-15,6.64772
2022-09-16,4.46022
2022-09-17,2.64204
2022-09-18,1.5909
2022-09-19,5.45454
2022-09-20,5.19886
2022-09-21,4.0625
2022-09-22,4.51704
2022-09-23,4.31818
2022-09-24,2.30113
2022-09-25,1.44886
2022-09-26,3.94886
2022-09-27,4.43181
2022-09-28,4.00568
2022-09-29,4.88636
2022-09-30,4.43181
2022-10-01,2.2159
2022-10-02,1.19318
2022-10-03,3.01136
2022-10-04,6.13636
2022-10-05,6.02272
2022-10-06,4.31818
2022-10-07,4.03409
2022-10-08,2.30113
2022-10-09,1.50568
2022-10-10,3.21022
2022-10-11,3.83522
2022-10-12,4.4034
2022-10-13,4.0909
2022-10-14,4.43181
2022-10-15,2.55681
2022-10-16,1.16477
2022-10-17,5.42613
2022-10-18,5.42613
2022-10-19,5.11363
2022-10-20,5.0
2022-10-21,3.60795
2022-10-22,1.96022
2022-10-23,1.19318
2022-10-24,4.65909
2022-10-25,4.97159
2022-10-26,4.82954
2022-10-27,4.28977
2022-10-28,3.75
2022-10-29,2.5284
2022-10-30,1.67613
2022-10-31,5.0
2022-11-01,5.39772
2022-11-02,5.22727
2022-11-03,5.17045
2022-11-04,4.28977
2022-11-05,2.95454
2022-11-06,1.19318
2022-11-07,16.36363
2022-11-08,10.3409
2022-11-09,8.55113
2022-11-10,9.03409
2022-11-11,12.58522
2022-11-12,5.11363
2022-11-13,2.86931
2022-11-14,10.56818
2022-11-15,9.375
2022-11-16,7.01704
2022-11-17,5.59659
2022-11-18,4.65909
2022-11-19,2.44318
2022-11-20,1.30681
2022-11-21,5.85227
2022-11-22,5.45454
2022-11-23,4.82954
2022-11-24,10.85227
2022-11-25,8.7784
2022-11-26,2.69886
2022-11-27,1.19318
2022-11-28,4.43181
2022-11-29,5.0
2022-11-30,4.48863
2022-12-01,5.625
2022-12-02,3.35227
2022-12-03,1.9034
2022-12-04,1.02272
2022-12-05,5.19886
2022-12-06,4.4034
2022-12-07,4.17613
2022-12-08,4.11931
2022-12-09,4.51704
2022-12-10,2.13068
2022-12-11,1.5909
2022-12-12,4.48863
2022-12-13,6.47727
2022-12-14,5.39772
2022-12-15,5.05681
2022-12-16,5.53977
2022-12-17,2.38636
2022-12-18,1.22159
2022-12-19,5.42613
2022-12-20,5.88068
2022-12-21,6.42045
2022-12-22,5.19886
2022-12-23,5.625
2022-12-24,2.55681
2022-12-25,1.05113
2022-12-26,9.65909
2022-12-27,7.15909
2022-12-28,6.96022
2022-12-29,5.76704
2022-12-30,5.9375
2022-12-31,2.67045
2023-01-01,1.50568
2023-01-02,10.59659
2023-01-03,8.38068
2023-01-04,6.67613
2023-01-05,6.2784
2023-01-06,6.36363
2023-01-07,3.7784
2023-01-08,2.01704
2023-01-09,7.41477
2023-01-10,7.8125
2023-01-11,6.81818
2023-01-12,7.1875
2023-01-13,7.15909
2023-01-14,4.23295
2023-01-15,2.07386
2023-01-16,12.58522
2023-01-17,10.08522
2023-01-18,6.875
2023-01-19,4.54545
2023-01-20,5.56818
2023-01-21,3.80681
2023-01-22,2.2159
2023-01-23,4.17613
2023-01-24,8.26704
2023-01-25,8.7784
2023-01-26,10.11363
2023-01-27,11.73295
2023-01-28,10.3125
2023-01-29,5.88068
2023-01-30,15.11363
2023-01-31,10.45454
2023-02-01,10.3409
2023-02-02,14.03409
2023-02-03,16.10795
2023-02-04,7.5
2023-02-05,3.86363
2023-02-06,12.5284
2023-02-07,10.42613
2023-02-08,10.39772
2023-02-09,11.22159
2023-02-10,10.90909
2023-02-11,4.54545
2023-02-12,2.89772
2023-02-13,11.33522
2023-02-14,8.97727
2023-02-15,10.45454
