date,미수금
2022-07-20,25.91065
2022-07-21,26.59793
2022-07-22,21.85567
2022-07-23,7.07903
2022-07-24,6.25429
2022-07-25,25.36082
2022-07-26,29.20962
2022-07-27,26.73539
2022-07-28,25.84192
2022-07-29,23.43642
2022-07-30,7.69759
2022-07-31,6.66666
2022-08-01,28.4536
2022-08-02,27.62886
2022-08-03,27.28522
2022-08-04,25.63573
2022-08-05,28.04123
2022-08-06,11.27147
2022-08-07,5.77319
2022-08-08,27.0103
2022-08-09,28.10996
2022-08-10,25.63573
2022-08-11,26.39175
2022-08-12,23.57388
2022-08-13,7.69759
2022-08-14,5.01718
2022-08-15,7.56013
2022-08-16,26.73539
2022-08-17,25.56701
2022-08-18,27.90378
2022-08-19,26.32302
2022-08-20,5.29209
2022-08-21,5.49828
2022-08-22,25.63573
2022-08-23,28.9347
2022-08-24,28.24742
2022-08-25,25.91065
2022-08-26,22.95532
2022-08-27,6.46048
2022-08-28,7.21649
2022-08-29,27.4914
2022-08-30,31.95876
2022-08-31,33.47079
2022-09-01,29.14089
2022-09-02,25.77319
2022-09-03,8.52233
2022-09-04,7.21649
2022-09-05,27.42268
2022-09-06,26.32302
2022-09-07,28.24742
2022-09-08,20.82474
2022-09-09,6.59793
2022-09-10,3.91752
2022-09-11,4.05498
2022-09-12,8.31615
2022-09-13,31.3402
2022-09-14,31.27147
2022-09-15,30.92783
2022-09-16,28.79725
2022-09-17,10.65292
2022-09-18,10.17182
2022-09-19,29.48453
2022-09-20,30.44673
2022-09-21,31.54639
2022-09-22,31.13402
2022-09-23,30.03436
2022-09-24,11.3402
2022-09-25,9.00343
2022-09-26,33.7457
2022-09-27,33.81443
2022-09-28,34.29553
2022-09-29,33.53951
2022-09-30,37.73195
2022-10-01,12.37113
2022-10-02,9.75945
2022-10-03,11.3402
2022-10-04,35.189
2022-10-05,32.98969
2022-10-06,33.47079
2022-10-07,27.42268
2022-10-08,10.10309
2022-10-09,9.82817
2022-10-10,13.53951
2022-10-11,34.7079
2022-10-12,34.7079
2022-10-13,32.7835
2022-10-14,30.30927
2022-10-15,14.2268
2022-10-16,14.84536
2022-10-17,33.88316
2022-10-18,31.61512
2022-10-19,38.96907
2022-10-20,35.189
2022-10-21,31.3402
2022-10-22,10.44673
2022-10-23,12.64604
2022-10-24,37.18213
2022-10-25,38.28178
2022-10-26,32.3024
2022-10-27,26.32302
2022-10-28,26.87285
2022-10-29,9.48453
2022-10-30,8.31615
2022-10-31,31.61512
2022-11-01,32.7835
2022-11-02,32.02749
2022-11-03,32.85223
2022-11-04,27.4914
2022-11-05,7.28522
2022-11-06,7.83505
2022-11-07,30.51546
2022-11-08,33.05841
2022-11-09,29.96563
2022-11-10,30.44673
2022-11-11,25.97938
2022-11-12,7.56013
2022-11-13,10.17182
2022-11-14,31.8213
2022-11-15,33.33333
2022-11-16,32.85223
2022-11-17,29.34707
2022-11-18,25.91065
2022-11-19,8.31615
2022-11-20,8.04123
2022-11-21,28.65979
2022-11-22,30.8591
2022-11-23,27.83505
2022-11-24,28.38487
2022-11-25,25.63573
2022-11-26,7.69759
2022-11-27,8.17869
2022-11-28,29.27835
2022-11-29,29.96563
2022-11-30,33.7457
2022-12-01,32.16494
2022-12-02,28.31615
2022-12-03,10.58419
2022-12-04,7.4914
2022-12-05,28.59106
2022-12-06,29.34707
2022-12-07,33.95189
2022-12-08,28.24742
