date,설치미술
2022-01-07,15.11627
2022-01-08,15.89147
2022-01-09,13.56589
2022-01-10,20.15503
2022-01-11,15.89147
2022-01-12,20.54263
2022-01-13,22.09302
2022-01-14,23.64341
2022-01-15,17.82945
2022-01-16,17.82945
2022-01-17,20.93023
2022-01-18,18.60465
2022-01-19,23.64341
2022-01-20,22.09302
2022-01-21,15.50387
2022-01-22,13.17829
2022-01-23,19.76744
2022-01-24,14.34108
2022-01-25,16.66666
2022-01-26,17.82945
2022-01-27,20.93023
2022-01-28,19.37984
2022-01-29,13.95348
2022-01-30,13.95348
2022-01-31,13.95348
2022-02-01,8.91472
2022-02-02,14.34108
2022-02-03,20.93023
2022-02-04,15.89147
2022-02-05,19.76744
2022-02-06,17.44186
2022-02-07,21.31782
2022-02-08,20.93023
2022-02-09,19.76744
2022-02-10,16.27906
2022-02-11,19.76744
2022-02-12,20.54263
2022-02-13,16.66666
2022-02-14,17.82945
2022-02-15,23.25581
2022-02-16,13.17829
2022-02-17,26.74418
2022-02-18,16.27906
2022-02-19,12.0155
2022-02-20,19.37984
2022-02-21,18.60465
2022-02-22,16.66666
2022-02-23,16.66666
2022-02-24,15.11627
2022-02-25,16.27906
2022-02-26,15.11627
2022-02-27,17.05426
2022-02-28,16.27906
2022-03-01,15.11627
2022-03-02,26.35658
2022-03-03,27.13178
2022-03-04,22.86821
2022-03-05,22.09302
2022-03-06,28.29457
2022-03-07,22.09302
2022-03-08,36.4341
2022-03-09,19.76744
2022-03-10,34.88372
2022-03-11,25.19379
2022-03-12,19.76744
2022-03-13,31.00775
2022-03-14,34.88372
2022-03-15,36.4341
2022-03-16,35.65891
2022-03-17,34.88372
2022-03-18,37.2093
2022-03-19,20.54263
2022-03-20,30.23255
2022-03-21,34.49612
2022-03-22,38.75968
2022-03-23,36.8217
2022-03-24,42.63565
2022-03-25,30.62015
2022-03-26,23.25581
2022-03-27,28.68217
2022-03-28,42.63565
2022-03-29,44.18604
2022-03-30,41.86046
2022-03-31,38.75968
2022-04-01,30.23255
2022-04-02,23.25581
2022-04-03,23.64341
2022-04-04,38.37209
2022-04-05,29.45736
2022-04-06,32.55813
2022-04-07,40.31007
2022-04-08,32.17054
2022-04-09,16.27906
2022-04-10,22.09302
2022-04-11,29.06976
2022-04-12,22.09302
2022-04-13,36.04651
2022-04-14,28.29457
2022-04-15,29.84496
2022-04-16,17.82945
2022-04-17,19.37984
2022-04-18,24.4186
2022-04-19,27.13178
2022-04-20,26.35658
2022-04-21,28.29457
2022-04-22,22.86821
2022-04-23,17.05426
2022-04-24,12.0155
2022-04-25,24.4186
2022-04-26,33.33333
2022-04-27,25.19379
2022-04-28,31.78294
