date,RMS
2022-04-21,65.6338
2022-04-22,65.6338
2022-04-23,21.12676
2022-04-24,29.85915
2022-04-25,68.16901
2022-04-26,70.42253
2022-04-27,66.19718
2022-04-28,58.87323
2022-04-29,45.07042
2022-04-30,18.59154
2022-05-01,25.91549
2022-05-02,70.70422
2022-05-03,61.97183
2022-05-04,53.52112
2022-05-05,19.7183
2022-05-06,38.02816
2022-05-07,20.56338
2022-05-08,21.12676
2022-05-09,62.53521
2022-05-10,70.70422
2022-05-11,55.49295
2022-05-12,67.88732
2022-05-13,58.87323
2022-05-14,22.25352
2022-05-15,24.22535
2022-05-16,64.78873
2022-05-17,71.54929
2022-05-18,62.25352
2022-05-19,61.12676
2022-05-20,49.01408
2022-05-21,24.78873
2022-05-22,20.84507
2022-05-23,64.50704
2022-05-24,64.78873
2022-05-25,59.7183
2022-05-26,67.88732
2022-05-27,50.98591
2022-05-28,19.43661
2022-05-29,19.15492
2022-05-30,65.6338
2022-05-31,54.36619
2022-06-01,29.01408
2022-06-02,58.30985
2022-06-03,49.85915
2022-06-04,30.98591
2022-06-05,24.50704
2022-06-06,27.88732
2022-06-07,60.0
2022-06-08,67.88732
2022-06-09,60.0
2022-06-10,50.98591
2022-06-11,20.28169
2022-06-12,25.91549
2022-06-13,74.0845
2022-06-14,64.50704
2022-06-15,71.83098
2022-06-16,60.56338
2022-06-17,48.73239
2022-06-18,19.7183
2022-06-19,19.43661
2022-06-20,56.61971
2022-06-21,65.91549
2022-06-22,54.0845
2022-06-23,48.73239
2022-06-24,49.57746
2022-06-25,20.56338
2022-06-26,17.74647
2022-06-27,54.92957
2022-06-28,58.59154
2022-06-29,59.43661
2022-06-30,54.92957
2022-07-01,41.69014
2022-07-02,12.39436
2022-07-03,18.02816
2022-07-04,50.14084
2022-07-05,56.05633
2022-07-06,54.92957
2022-07-07,53.23943
2022-07-08,44.78873
2022-07-09,16.33802
2022-07-10,11.83098
2022-07-11,54.0845
2022-07-12,57.46478
2022-07-13,51.54929
2022-07-14,50.70422
2022-07-15,43.66197
2022-07-16,16.9014
2022-07-17,15.21126
2022-07-18,45.35211
2022-07-19,52.67605
2022-07-20,48.16901
2022-07-21,49.01408
2022-07-22,42.8169
2022-07-23,15.49295
2022-07-24,10.98591
2022-07-25,52.39436
2022-07-26,51.54929
2022-07-27,51.2676
2022-07-28,46.19718
2022-07-29,41.97183
2022-07-30,13.80281
2022-07-31,15.77464
2022-08-01,51.83098
2022-08-02,49.57746
2022-08-03,41.12676
2022-08-04,43.38028
2022-08-05,32.39436
2022-08-06,12.39436
2022-08-07,15.77464
2022-08-08,46.47887
2022-08-09,47.32394
2022-08-10,46.19718
2022-08-11,53.23943
2022-08-12,43.94366
2022-08-13,14.36619
2022-08-14,13.52112
2022-08-15,17.18309
2022-08-16,47.04225
2022-08-17,44.22535
2022-08-18,50.42253
2022-08-19,41.97183
2022-08-20,17.18309
2022-08-21,15.49295
2022-08-22,47.04225
2022-08-23,50.98591
2022-08-24,45.07042
2022-08-25,45.91549
2022-08-26,52.11267
2022-08-27,9.29577
2022-08-28,14.64788
2022-08-29,50.14084
2022-08-30,51.54929
2022-08-31,58.59154
2022-09-01,59.43661
2022-09-02,44.78873
2022-09-03,16.61971
2022-09-04,24.78873
2022-09-05,52.11267
2022-09-06,57.74647
2022-09-07,60.0
2022-09-08,41.40845
2022-09-09,13.52112
2022-09-10,9.29577
2022-09-11,13.80281
2022-09-12,16.05633
2022-09-13,70.42253
2022-09-14,77.18309
2022-09-15,73.52112
2022-09-16,52.67605
2022-09-17,22.53521
2022-09-18,22.53521
2022-09-19,68.16901
2022-09-20,62.25352
2022-09-21,66.19718
2022-09-22,63.94366
2022-09-23,55.49295
2022-09-24,21.40845
2022-09-25,34.92957
2022-09-26,73.23943
2022-09-27,73.52112
2022-09-28,67.60563
2022-09-29,66.76056
2022-09-30,54.64788
2022-10-01,22.53521
2022-10-02,19.43661
2022-10-03,87.60563
2022-10-04,76.05633
2022-10-05,79.15492
2022-10-06,78.30985
2022-10-07,52.39436
2022-10-08,29.85915
2022-10-09,27.32394
2022-10-10,40.0
2022-10-11,72.95774
2022-10-12,82.53521
2022-10-13,69.29577
2022-10-14,61.69014
2022-10-15,34.64788
2022-10-16,36.9014
2022-10-17,80.0
2022-10-18,76.33802
2022-10-19,73.23943
2022-10-20,72.11267
2022-10-21,63.38028
2022-10-22,29.01408
2022-10-23,25.91549
2022-10-24,71.54929
2022-10-25,74.92957
2022-10-26,62.25352
2022-10-27,58.87323
2022-10-28,55.77464
2022-10-29,20.0
2022-10-30,21.40845
2022-10-31,51.54929
2022-11-01,58.87323
2022-11-02,56.05633
2022-11-03,60.28169
2022-11-04,51.54929
2022-11-05,21.69014
2022-11-06,15.77464
2022-11-07,64.50704
2022-11-08,64.50704
2022-11-09,62.8169
2022-11-10,58.30985
2022-11-11,52.67605
2022-11-12,21.12676
2022-11-13,22.25352
2022-11-14,56.9014
2022-11-15,70.14084
2022-11-16,67.88732
2022-11-17,67.04225
2022-11-18,51.83098
2022-11-19,21.97183
2022-11-20,20.0
2022-11-21,63.38028
2022-11-22,64.22535
2022-11-23,70.14084
2022-11-24,56.33802
2022-11-25,49.85915
2022-11-26,21.40845
2022-11-27,22.8169
2022-11-28,55.77464
2022-11-29,57.46478
2022-11-30,61.69014
2022-12-01,60.28169
2022-12-02,55.21126
2022-12-03,27.04225
2022-12-04,27.04225
2022-12-05,72.95774
2022-12-06,52.39436
2022-12-07,60.28169
2022-12-08,68.73239
2022-12-09,52.95774
2022-12-10,22.53521
2022-12-11,30.14084
2022-12-12,71.54929
2022-12-13,63.94366
2022-12-14,59.15492
2022-12-15,59.15492
2022-12-16,53.23943
2022-12-17,19.15492
2022-12-18,21.69014
2022-12-19,58.87323
2022-12-20,60.56338
2022-12-21,53.80281
2022-12-22,45.07042
2022-12-23,40.84507
2022-12-24,11.54929
2022-12-25,9.85915
2022-12-26,41.12676
2022-12-27,47.32394
2022-12-28,43.09859
2022-12-29,38.59154
2022-12-30,24.78873
2022-12-31,9.85915
2023-01-01,12.39436
2023-01-02,43.09859
2023-01-03,54.0845
2023-01-04,56.9014
2023-01-05,55.77464
2023-01-06,49.29577
2023-01-07,18.02816
2023-01-08,17.74647
2023-01-09,54.64788
2023-01-10,57.46478
2023-01-11,54.92957
2023-01-12,59.15492
2023-01-13,50.14084
2023-01-14,12.11267
2023-01-15,20.28169
2023-01-16,53.52112
2023-01-17,65.6338
2023-01-18,49.85915
2023-01-19,55.21126
2023-01-20,29.57746
2023-01-21,11.54929
2023-01-22,14.36619
2023-01-23,14.0845
2023-01-24,18.02816
2023-01-25,44.50704
2023-01-26,58.59154
2023-01-27,54.0845
2023-01-28,14.92957
2023-01-29,15.77464
2023-01-30,54.64788
2023-01-31,58.02816
2023-02-01,55.77464
2023-02-02,53.52112
