date,저PBR
2021-11-08,0.06031
2021-11-11,0.14475
2021-11-12,0.08443
2021-11-13,0.10856
2021-11-14,0.10856
2021-11-15,0.16887
2021-11-16,0.21712
2021-11-17,0.24125
2021-11-18,0.10856
2021-11-19,0.25331
2021-11-20,0.31363
2021-11-21,0.21712
2021-11-22,0.18094
2021-11-23,0.07237
2021-11-24,0.21712
2021-11-25,0.10856
2021-11-26,0.13268
2021-11-27,0.15681
2021-11-28,0.14475
2021-11-29,0.0965
2021-11-30,0.06031
2021-12-01,0.24125
2021-12-02,0.10856
2021-12-03,0.21712
2021-12-04,0.13268
2021-12-05,0.10856
2021-12-06,0.21712
2021-12-07,0.41013
2021-12-08,0.31363
2021-12-09,0.2895
2021-12-10,0.0965
2021-12-11,0.16887
2021-12-12,0.31363
2021-12-13,0.24125
2021-12-15,0.43425
2021-12-16,0.13268
2021-12-17,0.21712
2021-12-18,0.193
2021-12-19,0.13268
2021-12-21,0.08443
2021-12-22,0.22919
2021-12-23,0.16887
2021-12-24,0.21712
2021-12-25,0.193
2021-12-26,0.193
2021-12-27,0.26537
2021-12-28,0.193
2021-12-29,0.12062
2021-12-30,0.15681
2021-12-31,0.14475
2022-01-01,0.13268
2022-01-02,0.16887
2022-01-03,0.0965
2022-01-04,0.30156
2022-01-05,0.36188
2022-01-06,0.2895
2022-01-07,0.2895
2022-01-08,0.193
2022-01-09,0.12062
2022-01-10,0.27744
2022-01-11,0.34981
2022-01-12,0.42219
2022-01-13,0.25331
2022-01-14,0.10856
2022-01-15,0.24125
2022-01-16,0.13268
2022-01-17,0.07237
2022-01-18,0.386
2022-01-19,0.27744
2022-01-20,0.32569
2022-01-21,0.18094
2022-01-22,0.34981
2022-01-23,0.21712
2022-01-24,0.20506
2022-01-25,0.27744
2022-01-26,0.27744
2022-01-27,0.27744
2022-01-28,0.22919
2022-01-29,0.07237
2022-01-30,0.12062
2022-01-31,0.14475
2022-02-01,0.16887
2022-02-02,0.16887
2022-02-03,0.18094
2022-02-04,0.21712
2022-02-05,0.30156
2022-02-06,0.18094
2022-02-07,0.24125
2022-02-09,0.41013
2022-02-10,0.386
2022-02-11,0.20506
2022-02-12,0.22919
2022-02-13,0.25331
2022-02-14,0.27744
2022-02-16,0.2895
2022-02-17,0.32569
2022-02-18,0.53075
2022-02-19,0.06031
2022-02-20,0.34981
2022-02-21,0.10856
2022-02-22,0.13268
2022-02-23,0.0965
2022-02-24,0.08443
2022-02-25,0.20506
2022-02-26,0.12062
2022-02-27,0.21712
2022-02-28,0.08443
2022-03-01,0.193
2022-03-02,0.08443
2022-03-03,0.32569
2022-03-04,0.27744
