date,자동차보험할증기준
2022-10-09,21.68284
2022-10-10,22.00647
2022-10-11,46.44012
2022-10-12,43.68932
2022-10-13,52.7508
2022-10-14,42.71844
2022-10-15,26.86084
2022-10-16,21.84466
2022-10-17,45.95469
2022-10-18,44.66019
2022-10-19,45.79288
2022-10-20,43.85113
2022-10-21,39.80582
2022-10-22,30.42071
2022-10-23,20.87378
2022-10-24,55.3398
2022-10-25,48.86731
2022-10-26,46.1165
2022-10-27,45.46925
2022-10-28,41.42394
2022-10-29,25.24271
2022-10-30,19.7411
2022-10-31,53.39805
2022-11-01,41.90938
2022-11-02,49.19093
2022-11-03,47.57281
2022-11-04,38.51132
2022-11-05,26.69902
2022-11-06,22.4919
2022-11-07,52.10355
2022-11-08,52.26537
2022-11-09,43.04207
2022-11-10,46.92556
2022-11-11,38.34951
2022-11-12,24.27184
2022-11-13,24.11003
2022-11-14,50.16181
2022-11-15,53.72168
2022-11-16,42.55663
2022-11-17,46.92556
2022-11-18,42.233
2022-11-19,24.43365
2022-11-20,21.52103
2022-11-21,56.47249
2022-11-22,50.97087
2022-11-23,44.17475
2022-11-24,42.71844
2022-11-25,36.08414
2022-11-26,26.05177
2022-11-27,21.03559
2022-11-28,47.08737
2022-11-29,51.94174
2022-11-30,46.92556
2022-12-01,37.86407
2022-12-02,36.8932
2022-12-03,24.75728
2022-12-04,25.56634
2022-12-05,53.23624
2022-12-06,57.9288
2022-12-07,44.49838
2022-12-08,45.95469
2022-12-09,40.93851
2022-12-10,23.94822
2022-12-11,24.11003
2022-12-12,50.64724
2022-12-13,49.35275
2022-12-14,45.63106
2022-12-15,48.38187
2022-12-16,47.89644
2022-12-17,23.7864
2022-12-18,23.7864
2022-12-19,55.98705
2022-12-20,52.42718
2022-12-21,62.62135
2022-12-22,49.02912
2022-12-23,43.5275
2022-12-24,29.44983
2022-12-25,24.75728
2022-12-26,62.62135
2022-12-27,49.02912
2022-12-28,52.42718
2022-12-29,56.47249
2022-12-30,49.51456
2022-12-31,25.72815
2023-01-01,33.49514
2023-01-02,70.87378
2023-01-03,53.55987
2023-01-04,52.58899
2023-01-05,49.19093
2023-01-06,41.26213
2023-01-07,27.99352
2023-01-08,22.81553
2023-01-09,56.47249
2023-01-10,53.88349
2023-01-11,38.51132
2023-01-12,47.24919
2023-01-13,37.70226
2023-01-14,25.0809
2023-01-15,22.4919
2023-01-16,52.10355
2023-01-17,48.05825
2023-01-18,44.01294
2023-01-19,45.30744
2023-01-20,46.1165
2023-01-21,23.62459
2023-01-22,18.60841
2023-01-23,21.68284
2023-01-24,30.42071
2023-01-25,70.06472
2023-01-26,54.0453
2023-01-27,49.35275
2023-01-28,31.55339
2023-01-29,22.16828
2023-01-30,62.78317
2023-01-31,53.88349
2023-02-01,44.01294
2023-02-02,51.94174
2023-02-03,39.4822
2023-02-04,27.50809
2023-02-05,22.4919
2023-02-06,54.69255
2023-02-07,45.63106
2023-02-08,47.24919
2023-02-09,38.51132
2023-02-10,38.34951
2023-02-11,27.50809
2023-02-12,22.4919
2023-02-13,48.05825
2023-02-14,47.57281
2023-02-15,47.24919
2023-02-16,39.64401
2023-02-17,34.14239
2023-02-18,27.18446
2023-02-19,22.81553
2023-02-20,53.88349
2023-02-21,42.71844
2023-02-22,44.01294
2023-02-23,44.66019
2023-02-24,40.77669
2023-02-25,25.88996
2023-02-26,24.75728
