date,금형제작
2022-05-01,20.71005
2022-05-02,30.47337
2022-05-03,30.47337
2022-05-04,31.6568
2022-05-05,18.34319
2022-05-06,30.17751
2022-05-07,16.27218
2022-05-08,13.3136
2022-05-09,28.99408
2022-05-10,33.43195
2022-05-11,28.69822
2022-05-12,35.2071
2022-05-13,28.69822
2022-05-14,19.52662
2022-05-15,8.28402
2022-05-16,34.91124
2022-05-17,28.99408
2022-05-18,42.30769
2022-05-19,39.64497
2022-05-20,31.95266
2022-05-21,12.72189
2022-05-22,12.72189
2022-05-23,34.31952
2022-05-24,38.16568
2022-05-25,29.28994
2022-05-26,30.76923
2022-05-27,25.73964
2022-05-28,13.60946
2022-05-29,9.76331
2022-05-30,31.36094
2022-05-31,33.43195
2022-06-01,15.68047
2022-06-02,28.99408
2022-06-03,23.66863
2022-06-04,12.42603
2022-06-05,13.60946
2022-06-06,19.23076
2022-06-07,35.79881
2022-06-08,33.43195
2022-06-09,34.61538
2022-06-10,34.91124
2022-06-11,18.34319
2022-06-12,11.53846
2022-06-13,36.39053
2022-06-14,32.24852
2022-06-15,27.21893
2022-06-16,32.54437
2022-06-17,29.58579
2022-06-18,12.72189
2022-06-19,10.65088
2022-06-20,34.61538
2022-06-21,37.2781
2022-06-22,35.50295
2022-06-23,31.06508
2022-06-24,26.62721
2022-06-25,13.60946
2022-06-26,13.01775
2022-06-27,36.39053
2022-06-28,29.88165
2022-06-29,33.72781
2022-06-30,32.54437
2022-07-01,33.43195
2022-07-02,11.83431
2022-07-03,12.72189
2022-07-04,35.2071
2022-07-05,31.95266
2022-07-06,34.02366
2022-07-07,44.37869
2022-07-08,31.6568
2022-07-09,13.01775
2022-07-10,10.05917
2022-07-11,32.84023
2022-07-12,37.86982
2022-07-13,37.2781
2022-07-14,34.02366
2022-07-15,31.95266
2022-07-16,18.63905
2022-07-17,13.3136
2022-07-18,37.2781
2022-07-19,35.50295
2022-07-20,34.31952
2022-07-21,27.51479
2022-07-22,31.36094
2022-07-23,10.05917
2022-07-24,11.83431
2022-07-25,34.02366
2022-07-26,34.02366
2022-07-27,29.28994
2022-07-28,27.51479
2022-07-29,25.14792
2022-07-30,12.72189
2022-07-31,12.42603
2022-08-01,24.85207
2022-08-02,21.59763
2022-08-03,22.78106
2022-08-04,28.69822
2022-08-05,28.40236
2022-08-06,14.20118
2022-08-07,13.60946
2022-08-08,25.44378
2022-08-09,28.40236
2022-08-10,30.76923
2022-08-11,32.84023
2022-08-12,28.1065
2022-08-13,11.83431
2022-08-14,12.72189
2022-08-15,13.90532
2022-08-16,28.69822
2022-08-17,28.69822
2022-08-18,34.31952
2022-08-19,26.62721
2022-08-20,10.35502
2022-08-21,15.38461
2022-08-22,35.79881
2022-08-23,29.58579
2022-08-24,35.2071
2022-08-25,31.36094
2022-08-26,36.39053
2022-08-27,9.17159
2022-08-28,8.57988
2022-08-29,27.51479
2022-08-30,29.28994
2022-08-31,28.40236
2022-09-01,33.43195
2022-09-02,24.85207
2022-09-03,12.42603
2022-09-04,13.60946
2022-09-05,26.92307
2022-09-06,24.55621
2022-09-07,31.36094
2022-09-08,25.14792
2022-09-09,8.28402
2022-09-10,9.46745
2022-09-11,8.28402
2022-09-12,13.60946
2022-09-13,35.50295
2022-09-14,32.54437
2022-09-15,27.21893
2022-09-16,30.47337
2022-09-17,13.90532
2022-09-18,13.3136
2022-09-19,30.17751
2022-09-20,33.13609
2022-09-21,35.79881
2022-09-22,30.76923
2022-09-23,26.0355
2022-09-24,10.35502
2022-09-25,14.49704
2022-09-26,24.85207
2022-09-27,26.92307
2022-09-28,35.50295
2022-09-29,24.85207
2022-09-30,26.92307
2022-10-01,10.05917
2022-10-02,10.35502
2022-10-03,15.97633
2022-10-04,32.84023
2022-10-05,28.99408
2022-10-06,33.43195
2022-10-07,27.81065
2022-10-08,8.57988
2022-10-09,10.94674
2022-10-10,14.49704
2022-10-11,28.40236
2022-10-12,32.54437
2022-10-13,28.99408
2022-10-14,31.36094
2022-10-15,14.20118
2022-10-16,11.2426
2022-10-17,28.40236
2022-10-18,33.43195
2022-10-19,27.21893
2022-10-20,32.24852
2022-10-21,24.85207
2022-10-22,9.17159
2022-10-23,13.3136
2022-10-24,31.06508
2022-10-25,44.37869
2022-10-26,30.76923
2022-10-27,24.85207
2022-10-28,27.81065
2022-10-29,8.87573
2022-10-30,4.73372
2022-10-31,28.1065
2022-11-01,32.84023
2022-11-02,30.17751
2022-11-03,29.88165
2022-11-04,24.26035
2022-11-05,12.42603
2022-11-06,12.42603
2022-11-07,29.58579
2022-11-08,30.76923
2022-11-09,32.24852
2022-11-10,27.51479
2022-11-11,26.92307
2022-11-12,12.13017
2022-11-13,10.65088
2022-11-14,28.1065
2022-11-15,33.13609
2022-11-16,31.95266
2022-11-17,33.43195
2022-11-18,31.06508
2022-11-19,14.20118
2022-11-20,13.01775
2022-11-21,27.81065
2022-11-22,28.99408
2022-11-23,29.28994
2022-11-24,30.47337
2022-11-25,38.46153
2022-11-26,19.23076
2022-11-27,11.2426
2022-11-28,36.98224
2022-11-29,36.09467
2022-11-30,27.51479
2022-12-01,25.14792
2022-12-02,33.43195
2022-12-03,15.08875
2022-12-04,10.35502
2022-12-05,29.28994
2022-12-06,29.28994
2022-12-07,39.64497
2022-12-08,31.06508
2022-12-09,28.40236
2022-12-10,11.53846
2022-12-11,13.90532
2022-12-12,28.69822
2022-12-13,31.06508
2022-12-14,29.88165
2022-12-15,33.43195
2022-12-16,25.14792
2022-12-17,9.46745
2022-12-18,13.01775
2022-12-19,33.43195
2022-12-20,29.58579
2022-12-21,30.47337
2022-12-22,26.62721
2022-12-23,21.89349
2022-12-24,14.20118
2022-12-25,16.27218
2022-12-26,22.78106
2022-12-27,30.17751
2022-12-28,34.31952
2022-12-29,24.85207
2022-12-30,21.59763
2022-12-31,17.45562
2023-01-01,9.46745
2023-01-02,30.17751
2023-01-03,31.36094
2023-01-04,27.51479
2023-01-05,37.57396
2023-01-06,25.44378
2023-01-07,15.97633
2023-01-08,13.3136
2023-01-09,31.95266
2023-01-10,30.47337
2023-01-11,38.16568
2023-01-12,26.62721
2023-01-13,28.40236
2023-01-14,16.8639
2023-01-15,11.2426
2023-01-16,26.92307
2023-01-17,42.8994
2023-01-18,34.31952
2023-01-19,37.86982
2023-01-20,23.96449
2023-01-21,13.3136
2023-01-22,9.17159
2023-01-23,10.65088
2023-01-24,15.38461
2023-01-25,26.92307
2023-01-26,33.43195
2023-01-27,30.17751
2023-01-28,18.04733
2023-01-29,16.8639
2023-01-30,28.99408
2023-01-31,30.17751
2023-02-01,31.95266
2023-02-02,38.75739
2023-02-03,26.92307
2023-02-04,13.3136
2023-02-05,11.53846
2023-02-06,38.16568
2023-02-07,35.2071
2023-02-08,34.91124
2023-02-09,29.28994
2023-02-10,31.6568
2023-02-11,13.3136
2023-02-12,15.08875
2023-02-13,39.94082
2023-02-14,30.47337
2023-02-15,39.64497
2023-02-16,36.09467
2023-02-17,28.40236
2023-02-18,19.82248
2023-02-19,10.05917
2023-02-20,32.54437
2023-02-21,43.19526
2023-02-22,34.31952
2023-02-23,37.86982
2023-02-24,31.36094
2023-02-25,13.90532
2023-02-26,17.15976
2023-02-27,31.6568
2023-02-28,30.47337
2023-03-01,17.45562
2023-03-02,31.06508
2023-03-03,31.06508
2023-03-04,19.82248
2023-03-05,18.34319
2023-03-06,34.61538
2023-03-07,34.02366
2023-03-08,37.57396
2023-03-09,38.75739
2023-03-10,36.39053
2023-03-11,18.93491
2023-03-12,16.56804
2023-03-13,34.02366
2023-03-14,35.2071
2023-03-15,35.79881
2023-03-16,29.58579
2023-03-17,31.36094
2023-03-18,16.56804
2023-03-19,14.49704
2023-03-20,30.47337
2023-03-21,33.43195
2023-03-22,37.2781
2023-03-23,33.72781
2023-03-24,33.13609
2023-03-25,16.27218
2023-03-26,13.90532
2023-03-27,35.50295
2023-03-28,32.84023
2023-03-29,36.98224
2023-03-30,36.68639
2023-03-31,31.6568
2023-04-01,12.72189
2023-04-02,15.38461
2023-04-03,29.58579
2023-04-04,30.17751
2023-04-05,34.61538
2023-04-06,33.72781
2023-04-07,30.47337
2023-04-08,17.15976
2023-04-09,14.79289
2023-04-10,31.95266
2023-04-11,32.54437
2023-04-12,37.2781
2023-04-13,34.61538
2023-04-14,29.58579
2023-04-15,21.00591
2023-04-16,15.97633
2023-04-17,36.68639
2023-04-18,36.09467
2023-04-19,29.28994
2023-04-20,32.24852
2023-04-21,31.6568
2023-04-22,15.68047
2023-04-23,14.79289
2023-04-24,28.40236
2023-04-25,32.54437
2023-04-26,32.24852
2023-04-27,27.21893
2023-04-28,31.06508
2023-04-29,17.15976
2023-04-30,10.65088
2023-05-01,14.20118
2023-05-02,42.01183
2023-05-03,31.6568
2023-05-04,28.99408
2023-05-05,12.72189
2023-05-06,15.08875
2023-05-07,13.01775
2023-05-08,31.36094
2023-05-09,42.60355
2023-05-10,42.01183
2023-05-11,46.4497
2023-05-12,28.1065
2023-05-13,16.27218
2023-05-14,17.15976
2023-05-15,35.2071
2023-05-16,34.02366
2023-05-17,31.06508
2023-05-18,27.81065
2023-05-19,30.47337
2023-05-20,15.08875
2023-05-21,12.72189
2023-05-22,36.68639
2023-05-23,41.12426
2023-05-24,33.43195
2023-05-25,31.95266
2023-05-26,21.89349
