date,코미팜주가
2022-08-07,0.40385
2022-08-08,3.84238
2022-08-09,4.1193
2022-08-10,3.67507
2022-08-11,5.52126
2022-08-12,4.30392
2022-08-13,0.4327
2022-08-14,0.36923
2022-08-15,0.4327
2022-08-16,3.6116
2022-08-17,3.06352
2022-08-18,3.28275
2022-08-19,3.72122
2022-08-20,0.43846
2022-08-21,0.23077
2022-08-22,3.08082
2022-08-23,3.10967
2022-08-24,2.95967
2022-08-25,3.35775
2022-08-26,3.05198
2022-08-27,0.31154
2022-08-28,0.26538
2022-08-29,2.7462
2022-08-30,3.05775
2022-08-31,3.39237
2022-09-01,2.89044
2022-09-02,2.8962
2022-09-03,0.42693
2022-09-04,0.32308
2022-09-05,2.55581
2022-09-06,2.70582
2022-09-07,2.64812
2022-09-08,3.01736
2022-09-09,0.49616
2022-09-10,0.25962
2022-09-11,0.21346
2022-09-12,0.23077
2022-09-13,3.60583
2022-09-14,3.16159
2022-09-15,2.76928
2022-09-16,2.57889
2022-09-17,0.50193
2022-09-18,0.25962
2022-09-19,3.20775
2022-09-20,3.33467
2022-09-21,2.46927
2022-09-22,2.75774
2022-09-23,2.7462
2022-09-24,0.40385
2022-09-25,0.32308
2022-09-26,3.09813
2022-09-27,2.90774
2022-09-28,2.95967
2022-09-29,3.34044
2022-09-30,2.75197
2022-10-01,0.32308
2022-10-02,0.23077
2022-10-03,0.31731
2022-10-04,3.51352
2022-10-05,3.15582
2022-10-06,2.91928
2022-10-07,2.41158
2022-10-08,0.35192
2022-10-09,0.26538
2022-10-10,0.27115
2022-10-11,2.49812
2022-10-12,2.55581
2022-10-13,2.68851
2022-10-14,2.75774
2022-10-15,0.43846
2022-10-16,0.27692
2022-10-17,2.77505
2022-10-18,2.94236
2022-10-19,2.8039
2022-10-20,2.21542
2022-10-21,2.20965
2022-10-22,0.35769
2022-10-23,0.26538
2022-10-24,2.79813
2022-10-25,2.77505
2022-10-26,2.68851
2022-10-27,3.05198
2022-10-28,2.64812
2022-10-29,0.35769
2022-10-30,0.21923
2022-10-31,2.75774
2022-11-01,4.85201
2022-11-02,3.73853
2022-11-03,2.97698
2022-11-04,2.72312
2022-11-05,0.41539
2022-11-06,0.26538
2022-11-07,2.97121
2022-11-08,3.09236
2022-11-09,2.93082
2022-11-10,2.69428
2022-11-11,3.95199
2022-11-12,0.67501
2022-11-13,0.38077
2022-11-14,3.68084
2022-11-15,3.84815
2022-11-16,3.47314
2022-11-17,2.88467
2022-11-18,2.6712
2022-11-19,0.28269
2022-11-20,0.25962
2022-11-21,2.42312
2022-11-22,2.5212
2022-11-23,2.56735
2022-11-24,2.76928
2022-11-25,2.06542
2022-11-26,0.27692
2022-11-27,0.28269
2022-11-28,2.12888
2022-11-29,2.91928
2022-11-30,3.01736
2022-12-01,3.61737
2022-12-02,2.48658
2022-12-03,0.25385
2022-12-04,0.25962
2022-12-05,3.24813
2022-12-06,2.56158
2022-12-07,2.57312
2022-12-08,2.65966
2022-12-09,2.90774
2022-12-10,0.31731
2022-12-11,0.23654
2022-12-12,2.40004
2022-12-13,2.44043
2022-12-14,2.71159
2022-12-15,2.26735
2022-12-16,2.0885
2022-12-17,0.25962
2022-12-18,0.19038
2022-12-19,2.20388
2022-12-20,2.19811
2022-12-21,2.3885
2022-12-22,2.11157
2022-12-23,1.99042
2022-12-24,0.23077
2022-12-25,0.19038
2022-12-26,1.9558
2022-12-27,2.42889
2022-12-28,2.06542
2022-12-29,2.06542
2022-12-30,0.77309
2022-12-31,0.24231
2023-01-01,0.20769
2023-01-02,1.98465
2023-01-03,2.15196
2023-01-04,2.09427
2023-01-05,2.13465
2023-01-06,2.15773
2023-01-07,0.25962
2023-01-08,0.23077
2023-01-09,2.51543
2023-01-10,2.32504
2023-01-11,2.41158
2023-01-12,2.31927
2023-01-13,2.04234
2023-01-14,0.28269
2023-01-15,0.19038
2023-01-16,2.00196
2023-01-17,1.79426
2023-01-18,1.78272
2023-01-19,1.83465
2023-01-20,1.62695
2023-01-21,0.21923
2023-01-22,0.18461
2023-01-23,0.20769
2023-01-24,0.34039
2023-01-25,2.04234
2023-01-26,1.84618
2023-01-27,1.92119
2023-01-28,0.25962
2023-01-29,0.21923
2023-01-30,2.02503
2023-01-31,2.14042
2023-02-01,2.4462
2023-02-02,2.74043
2023-02-03,2.10004
2023-02-04,0.3
2023-02-05,0.21923
2023-02-06,1.96734
2023-02-07,2.38273
2023-02-08,2.42889
2023-02-09,2.0308
2023-02-10,1.85772
2023-02-11,0.18461
2023-02-12,0.17308
2023-02-13,1.81734
2023-02-14,1.99042
2023-02-15,1.80003
2023-02-16,2.38273
2023-02-17,1.84042
2023-02-18,0.25962
2023-02-19,0.20192
2023-02-20,2.38273
2023-02-21,2.13465
2023-02-22,2.00773
2023-02-23,1.87503
2023-02-24,1.77118
2023-02-25,0.19038
2023-02-26,0.18461
2023-02-27,1.56926
2023-02-28,2.05388
2023-03-01,0.46154
2023-03-02,1.99619
2023-03-03,1.85772
2023-03-04,0.225
2023-03-05,0.24231
2023-03-06,1.78272
2023-03-07,1.85772
2023-03-08,1.75387
2023-03-09,2.19811
2023-03-10,1.78849
2023-03-11,0.35769
2023-03-12,0.19038
2023-03-13,2.11734
2023-03-14,1.9558
2023-03-15,1.95003
2023-03-16,1.77118
2023-03-17,1.86349
2023-03-18,0.33462
2023-03-19,0.24231
2023-03-20,1.87503
2023-03-21,1.96734
2023-03-22,2.11734
2023-03-23,2.00196
2023-03-24,2.0135
2023-03-25,0.32885
2023-03-26,0.27692
2023-03-27,1.86349
2023-03-28,1.82311
2023-03-29,1.96157
2023-03-30,2.26735
2023-03-31,2.18658
2023-04-01,0.39231
2023-04-02,0.25962
2023-04-03,2.11157
2023-04-04,2.17504
2023-04-05,2.20965
2023-04-06,1.92696
2023-04-07,2.00196
2023-04-08,0.25385
2023-04-09,0.20769
2023-04-10,2.02503
2023-04-11,2.08273
2023-04-12,5.12894
2023-04-13,4.15392
2023-04-14,3.69814
2023-04-15,0.69232
2023-04-16,0.72693
2023-04-17,3.84238
2023-04-18,5.72895
2023-04-19,4.55777
2023-04-20,3.73276
2023-04-21,3.28275
2023-04-22,0.49039
2023-04-23,0.40385
2023-04-24,2.67697
2023-04-25,2.8962
2023-04-26,3.48468
2023-04-27,2.84428
2023-04-28,2.49235
2023-04-29,0.48462
2023-04-30,0.35769
2023-05-01,0.87117
2023-05-02,2.70005
2023-05-03,2.42889
2023-05-04,2.65966
2023-05-05,0.76155
2023-05-06,0.42693
2023-05-07,0.31154
2023-05-08,2.67697
2023-05-09,2.44043
2023-05-10,2.57312
2023-05-11,3.8943
2023-05-12,2.46927
2023-05-13,0.45577
2023-05-14,0.30577
2023-05-15,2.44043
2023-05-16,2.7462
2023-05-17,3.43275
2023-05-18,2.93659
2023-05-19,2.33658
2023-05-20,0.42693
2023-05-21,0.33462
2023-05-22,2.70005
2023-05-23,2.42889
2023-05-24,2.50389
2023-05-25,2.3135
2023-05-26,2.0308
2023-05-27,0.35192
