date,상속재산분할협의서
2022-07-27,72.54408
2022-07-28,62.7204
2022-07-29,40.80604
2022-07-30,29.72292
2022-07-31,31.73803
2022-08-01,67.00251
2022-08-02,63.97984
2022-08-03,60.70528
2022-08-04,53.90428
2022-08-05,52.89672
2022-08-06,19.39546
2022-08-07,22.41813
2022-08-08,58.69017
2022-08-09,39.54659
2022-08-10,55.91939
2022-08-11,49.87405
2022-08-12,44.33249
2022-08-13,15.86901
2022-08-14,27.95969
2022-08-15,32.4937
2022-08-16,82.11586
2022-08-17,63.47607
2022-08-18,58.94206
2022-08-19,55.91939
2022-08-20,29.47103
2022-08-21,33.24937
2022-08-22,75.56675
2022-08-23,62.7204
2022-08-24,64.73551
2022-08-25,58.43828
2022-08-26,54.40806
2022-08-27,29.21914
2022-08-28,19.64735
2022-08-29,56.92695
2022-08-30,64.9874
2022-08-31,52.14105
2022-09-01,56.17128
2022-09-02,45.34005
2022-09-03,22.16624
2022-09-04,28.21158
2022-09-05,47.10327
2022-09-06,65.23929
2022-09-07,66.24685
2022-09-08,49.87405
2022-09-09,24.18136
2022-09-10,29.21914
2022-09-11,30.47858
2022-09-12,36.02015
2022-09-13,90.93198
2022-09-14,100.0
2022-09-15,98.23677
2022-09-16,67.00251
2022-09-17,37.27959
2022-09-18,36.02015
2022-09-19,94.45843
2022-09-20,80.10075
2022-09-21,74.55919
2022-09-22,69.52141
2022-09-23,71.03274
2022-09-24,28.21158
2022-09-25,37.27959
2022-09-26,80.85642
2022-09-27,89.42065
2022-09-28,73.55163
2022-09-29,74.05541
2022-09-30,47.60705
2022-10-01,21.91435
2022-10-02,22.92191
2022-10-03,31.48614
2022-10-04,67.00251
2022-10-05,67.2544
2022-10-06,57.9345
2022-10-07,52.14105
2022-10-08,23.42569
2022-10-09,16.87657
2022-10-10,28.71536
2022-10-11,60.4534
2022-10-12,52.64483
2022-10-13,56.17128
2022-10-14,47.35516
2022-10-15,19.39546
2022-10-16,31.73803
2022-10-17,64.9874
2022-10-18,49.87405
2022-10-19,48.6146
2022-10-20,47.35516
2022-10-21,39.79848
2022-10-22,15.86901
2022-10-23,22.92191
2022-10-24,73.55163
2022-10-25,55.16372
2022-10-26,62.7204
2022-10-27,52.14105
2022-10-28,37.78337
2022-10-29,13.8539
2022-10-30,21.41057
2022-10-31,61.20906
2022-11-01,41.05793
2022-11-02,49.11838
2022-11-03,41.30982
2022-11-04,38.28715
2022-11-05,14.60957
2022-11-06,16.87657
2022-11-07,54.40806
2022-11-08,55.41561
2022-11-09,48.36272
2022-11-10,46.59949
2022-11-11,38.03526
2022-11-12,21.91435
2022-11-13,20.65491
2022-11-14,57.68261
2022-11-15,51.38539
2022-11-16,48.11083
2022-11-17,48.86649
2022-11-18,33.50125
2022-11-19,17.63224
2022-11-20,27.95969
2022-11-21,56.92695
2022-11-22,43.82871
2022-11-23,48.11083
2022-11-24,49.11838
2022-11-25,40.80604
2022-11-26,19.39546
2022-11-27,25.4408
2022-11-28,47.35516
2022-11-29,47.35516
2022-11-30,34.25692
2022-12-01,36.52392
2022-12-02,36.52392
2022-12-03,16.37279
2022-12-04,20.15113
2022-12-05,54.15617
2022-12-06,52.14105
2022-12-07,54.91183
2022-12-08,59.69773
2022-12-09,44.58438
2022-12-10,21.41057
2022-12-11,20.9068
2022-12-12,54.40806
2022-12-13,50.37783
2022-12-14,44.58438
2022-12-15,40.55415
2022-12-16,42.06549
2022-12-17,19.14357
2022-12-18,17.88413
2022-12-19,56.17128
2022-12-20,52.64483
2022-12-21,45.84382
2022-12-22,40.55415
2022-12-23,38.03526
2022-12-24,21.15869
2022-12-25,17.38035
2022-12-26,52.64483
2022-12-27,43.82871
2022-12-28,49.11838
2022-12-29,48.36272
2022-12-30,30.98236
2022-12-31,11.83879
2023-01-01,18.63979
2023-01-02,50.37783
2023-01-03,49.11838
2023-01-04,53.14861
2023-01-05,48.86649
2023-01-06,46.85138
2023-01-07,18.63979
2023-01-08,24.18136
2023-01-09,62.46851
2023-01-10,53.4005
2023-01-11,52.39294
2023-01-12,50.88161
2023-01-13,39.29471
2023-01-14,20.15113
2023-01-15,24.43324
2023-01-16,54.91183
2023-01-17,45.59193
2023-01-18,52.14105
2023-01-19,46.59949
2023-01-20,51.63727
2023-01-21,17.38035
2023-01-22,23.1738
2023-01-23,19.89924
2023-01-24,29.97481
2023-01-25,69.26952
2023-01-26,53.90428
2023-01-27,59.44584
2023-01-28,29.97481
2023-01-29,25.94458
2023-01-30,70.52896
2023-01-31,67.00251
2023-02-01,61.20906
2023-02-02,59.44584
2023-02-03,43.82871
2023-02-04,25.69269
2023-02-05,30.73047
2023-02-06,76.32241
2023-02-07,65.49118
2023-02-08,63.97984
2023-02-09,61.96473
2023-02-10,47.60705
