date,비갱신건강보험
2024-03-02,7.14285
2024-03-03,7.14285
2024-03-04,6.04395
2024-03-05,10.98901
2024-03-06,9.34065
2024-03-07,10.98901
2024-03-08,9.8901
2024-03-09,4.94505
2024-03-10,4.3956
2024-03-11,7.6923
2024-03-12,13.18681
2024-03-13,10.98901
2024-03-14,9.34065
2024-03-15,12.63736
2024-03-16,8.24175
2024-03-17,2.74725
2024-03-18,14.83516
2024-03-19,15.93406
2024-03-20,7.14285
