date,증여상속
2022-09-28,56.98924
2022-09-29,43.36917
2022-09-30,41.93548
2022-10-01,39.78494
2022-10-02,34.4086
2022-10-03,41.93548
2022-10-04,42.65232
2022-10-05,41.93548
2022-10-06,43.72759
2022-10-07,40.86021
2022-10-08,24.73118
2022-10-09,29.7491
2022-10-10,34.05017
2022-10-11,41.21863
2022-10-12,33.33333
2022-10-13,40.86021
2022-10-14,40.14336
2022-10-15,29.7491
2022-10-16,30.46594
2022-10-17,46.9534
2022-10-18,29.03225
2022-10-19,43.72759
2022-10-20,36.20071
2022-10-21,34.05017
2022-10-22,20.4301
2022-10-23,36.20071
2022-10-24,48.38709
2022-10-25,33.69175
2022-10-26,34.4086
2022-10-27,40.50179
2022-10-28,30.46594
2022-10-29,24.73118
2022-10-30,20.4301
2022-10-31,36.91756
2022-11-01,38.35125
2022-11-02,30.46594
2022-11-03,26.52329
2022-11-04,27.95698
2022-11-05,24.01433
2022-11-06,17.92114
2022-11-07,40.50179
2022-11-08,30.46594
2022-11-09,35.48387
2022-11-10,41.21863
2022-11-11,34.05017
2022-11-12,26.88172
2022-11-13,31.54121
2022-11-14,40.14336
2022-11-15,45.87813
2022-11-16,41.21863
2022-11-17,42.2939
2022-11-18,34.05017
2022-11-19,24.37275
2022-11-20,32.61648
2022-11-21,51.25448
2022-11-22,45.51971
2022-11-23,46.23655
2022-11-24,34.4086
2022-11-25,37.27598
2022-11-26,26.16487
2022-11-27,27.59856
2022-11-28,40.14336
2022-11-29,40.50179
2022-11-30,37.6344
2022-12-01,31.54121
2022-12-02,32.97491
2022-12-03,18.27956
2022-12-04,24.37275
2022-12-05,45.51971
2022-12-06,36.91756
2022-12-07,41.57706
2022-12-08,43.72759
2022-12-09,35.84229
2022-12-10,31.89964
2022-12-11,22.22222
2022-12-12,56.98924
2022-12-13,40.50179
2022-12-14,36.55913
2022-12-15,44.44444
2022-12-16,33.33333
2022-12-17,24.73118
2022-12-18,34.4086
2022-12-19,48.02867
2022-12-20,49.10394
2022-12-21,38.70967
2022-12-22,34.4086
2022-12-23,26.52329
