date,기아주식
2021-09-17,8.65251
2021-09-18,1.8456
2021-09-19,1.54792
2021-09-20,1.30978
2021-09-21,1.86544
2021-09-22,1.58761
2021-09-23,7.81901
2021-09-24,8.81127
2021-09-25,2.14328
2021-09-26,1.56777
2021-09-27,8.77158
2021-09-28,11.66898
2021-09-29,10.29966
2021-09-30,9.00972
2021-10-01,10.1409
2021-10-02,2.32188
2021-10-03,1.38916
2021-10-04,3.83012
2021-10-05,12.58186
2021-10-06,13.35582
2021-10-07,13.6535
2021-10-08,14.68545
2021-10-09,2.30204
2021-10-10,1.8456
2021-10-11,2.28219
2021-10-12,14.18932
2021-10-13,14.92359
2021-10-14,12.52232
2021-10-15,11.21254
2021-10-16,1.82575
2021-10-17,2.18297
2021-10-18,10.83548
2021-10-19,10.10121
2021-10-20,9.90275
2021-10-21,9.9226
2021-10-22,8.53343
2021-10-23,1.38916
2021-10-24,1.409
2021-10-25,9.88291
2021-10-26,9.72415
2021-10-27,11.60944
2021-10-28,17.34471
2021-10-29,11.60944
2021-10-30,1.74637
2021-10-31,1.98452
2021-11-01,9.52569
2021-11-02,11.96666
2021-11-03,8.8708
2021-11-04,11.27207
2021-11-05,14.72514
2021-11-06,2.56003
2021-11-07,2.48065
2021-11-08,12.91923
2021-11-09,10.85532
2021-11-10,10.83548
2021-11-11,10.37904
2021-11-12,12.70093
2021-11-13,2.34173
2021-11-14,2.26235
2021-11-15,12.14526
2021-11-16,11.66898
2021-11-17,11.23238
2021-11-18,11.5896
2021-11-19,11.86743
2021-11-20,1.80591
2021-11-21,2.34173
2021-11-22,15.99523
2021-11-23,13.39551
2021-11-24,12.66124
2021-11-25,10.57749
2021-11-26,13.19706
2021-11-27,2.26235
2021-11-28,1.80591
2021-11-29,13.63365
2021-11-30,14.80452
2021-12-01,15.30065
2021-12-02,14.34808
2021-12-03,12.32387
2021-12-04,1.88529
2021-12-05,1.46854
2021-12-06,12.93907
2021-12-07,13.05814
2021-12-08,12.58186
2021-12-09,12.46279
2021-12-10,14.07025
2021-12-11,2.04405
2021-12-12,1.94483
2021-12-13,16.23337
2021-12-14,11.70867
2021-12-15,10.71641
2021-12-16,11.45068
2021-12-17,9.74399
2021-12-18,1.64715
2021-12-19,1.68684
2021-12-20,10.02182
2021-12-21,11.84758
2021-12-22,10.57749
2021-12-23,11.31176
2021-12-24,10.65687
2021-12-25,1.98452
2021-12-26,1.92498
2021-12-27,10.59734
2021-12-28,9.66461
2021-12-29,9.42647
2021-12-30,8.93034
2021-12-31,4.40563
2022-01-01,2.10359
2022-01-02,2.08374
2022-01-03,11.94681
2022-01-04,11.80789
2022-01-05,14.96328
2022-01-06,12.36356
2022-01-07,13.25659
2022-01-08,1.82575
2022-01-09,2.54018
2022-01-10,11.82774
2022-01-11,11.92696
2022-01-12,11.53006
2022-01-13,9.74399
2022-01-14,8.57312
2022-01-15,1.34947
2022-01-16,1.78606
2022-01-17,9.20817
2022-01-18,9.42647
2022-01-19,9.60508
2022-01-20,10.27981
2022-01-21,10.99424
2022-01-22,2.14328
2022-01-23,1.56777
2022-01-24,11.05378
2022-01-25,13.91149
2022-01-26,13.85195
2022-01-27,17.62254
2022-01-28,16.51121
2022-01-29,2.75848
2022-01-30,2.08374
2022-01-31,2.12343
2022-02-01,2.54018
2022-02-02,2.71879
2022-02-03,13.47489
2022-02-04,13.85195
2022-02-05,2.65925
2022-02-06,1.96467
2022-02-07,14.38777
2022-02-08,12.80015
2022-02-09,12.68108
2022-02-10,11.70867
2022-02-11,11.31176
2022-02-12,2.02421
2022-02-13,1.78606
2022-02-14,10.77594
2022-02-15,10.51795
2022-02-16,11.11331
2022-02-17,11.25223
2022-02-18,9.98213
2022-02-19,1.70668
2022-02-20,1.52808
2022-02-21,8.85096
2022-02-22,9.02956
2022-02-23,9.54554
2022-02-24,18.05913
2022-02-25,13.55427
2022-02-26,2.38142
2022-02-27,2.00436
