date,삼성증권고객센터
2023-01-23,1.24204
2023-01-24,0.84822
2023-01-25,9.66373
2023-01-26,9.54256
2023-01-27,8.81551
2023-01-28,1.15116
2023-01-29,0.81793
2023-01-30,11.66313
2023-01-31,10.96637
2023-02-01,10.02726
2023-02-02,10.02726
2023-02-03,10.26961
2023-02-04,0.84822
2023-02-05,0.90881
2023-02-06,9.93638
2023-02-07,10.90578
2023-02-08,9.54256
2023-02-09,9.57285
2023-02-10,10.05755
2023-02-11,1.42381
2023-02-12,0.87852
2023-02-13,12.42047
2023-02-14,10.87549
2023-02-15,11.8146
2023-02-16,11.23901
2023-02-17,12.32959
2023-02-18,1.9388
2023-02-19,2.48409
2023-02-20,21.02393
2023-02-21,21.75098
2023-02-22,12.99606
2023-02-23,13.17782
2023-02-24,12.69312
2023-02-25,2.02968
2023-02-26,1.30263
2023-02-27,16.26779
2023-02-28,15.14692
2023-03-01,2.27203
2023-03-02,19.93335
2023-03-03,22.69009
2023-03-04,1.9388
2023-03-05,1.54498
2023-03-06,17.96425
2023-03-07,16.54044
2023-03-08,12.75371
2023-03-09,12.69312
2023-03-10,13.08694
2023-03-11,1.18146
2023-03-12,1.66616
2023-03-13,19.72129
2023-03-14,13.48076
2023-03-15,13.69282
2023-03-16,13.35958
2023-03-17,12.72341
2023-03-18,1.15116
2023-03-19,1.42381
2023-03-20,14.11693
2023-03-21,13.42017
2023-03-22,15.7225
2023-03-23,13.54135
2023-03-24,15.2378
2023-03-25,2.18115
2023-03-26,1.60557
2023-03-27,15.90427
2023-03-28,15.48015
2023-03-29,15.44986
2023-03-30,16.69191
2023-03-31,15.51045
2023-04-01,1.75704
2023-04-02,1.39351
2023-04-03,18.90336
2023-04-04,14.84398
2023-04-05,16.11632
2023-04-06,16.05574
2023-04-07,16.14662
2023-04-08,1.90851
2023-04-09,1.36322
2023-04-10,19.176
2023-04-11,17.54013
2023-04-12,17.14631
2023-04-13,15.2681
2023-04-14,18.26719
2023-04-15,1.66616
2023-04-16,2.24174
2023-04-17,20.81187
2023-04-18,18.87306
2023-04-19,16.84338
2023-04-20,15.54074
2023-04-21,15.14692
2023-04-22,1.99939
2023-04-23,1.72674
2023-04-24,17.47955
2023-04-25,16.14662
2023-04-26,16.57073
2023-04-27,16.66161
2023-04-28,19.14571
2023-04-29,1.12087
2023-04-30,1.12087
2023-05-01,5.27112
2023-05-02,22.05392
2023-05-03,18.23689
2023-05-04,16.93426
2023-05-05,2.66585
2023-05-06,1.90851
2023-05-07,2.21145
2023-05-08,22.35686
2023-05-09,18.29748
2023-05-10,16.90396
2023-05-11,17.60072
2023-05-12,17.93395
2023-05-13,2.02968
2023-05-14,2.54468
2023-05-15,31.89942
2023-05-16,37.65525
2023-05-17,21.96304
2023-05-18,23.05362
2023-05-19,18.72159
2023-05-20,1.9691
2023-05-21,1.36322
2023-05-22,19.32747
2023-05-23,18.66101
2023-05-24,18.63071
2023-05-25,17.35837
2023-05-26,18.78218
2023-05-27,1.84792
2023-05-28,1.48439
2023-05-29,3.15056
2023-05-30,24.38654
2023-05-31,20.63011
2023-06-01,17.38867
2023-06-02,16.63132
2023-06-03,2.27203
2023-06-04,1.63586
2023-06-05,20.99363
2023-06-06,1.9691
2023-06-07,17.99454
2023-06-08,16.78279
2023-06-09,18.02484
2023-06-10,1.51469
2023-06-11,1.78733
2023-06-12,19.32747
2023-06-13,18.35807
2023-06-14,15.96485
2023-06-15,16.51014
2023-06-16,18.11572
2023-06-17,1.66616
2023-06-18,1.66616
2023-06-19,19.32747
2023-06-20,15.69221
2023-06-21,18.2066
2023-06-22,14.48046
2023-06-23,15.57103
2023-06-24,1.4541
2023-06-25,2.02968
2023-06-26,17.60072
2023-06-27,16.17691
2023-06-28,14.84398
2023-06-29,15.11663
2023-06-30,17.44925
2023-07-01,1.51469
2023-07-02,1.75704
2023-07-03,20.84216
2023-07-04,18.35807
2023-07-05,25.38624
2023-07-06,34.14116
2023-07-07,21.44804
2023-07-08,2.57497
2023-07-09,1.99939
2023-07-10,30.93002
2023-07-11,29.47591
2023-07-12,21.1754
2023-07-13,19.81217
2023-07-14,21.6298
2023-07-15,2.18115
2023-07-16,1.99939
2023-07-17,24.17449
2023-07-18,21.81157
2023-07-19,100.0
2023-07-20,32.74765
2023-07-21,22.02362
2023-07-22,3.18085
2023-07-23,1.90851
2023-07-24,31.47531
2023-07-25,24.14419
2023-07-26,26.23447
2023-07-27,21.29657
2023-07-28,18.84277
2023-07-29,1.69645
2023-07-30,2.02968
2023-07-31,27.71887
2023-08-01,22.93244
2023-08-02,21.32687
2023-08-03,18.26719
2023-08-04,16.99485
2023-08-05,2.12056
2023-08-06,1.36322
2023-08-07,18.99424
2023-08-08,15.7528
2023-08-09,14.60163
2023-08-10,14.38957
2023-08-11,17.05543
2023-08-12,2.30233
2023-08-13,2.12056
2023-08-14,19.72129
2023-08-15,2.09027
2023-08-16,21.23598
2023-08-17,19.32747
2023-08-18,19.11541
2023-08-19,1.81763
2023-08-20,1.39351
2023-08-21,20.59981
2023-08-22,15.2378
2023-08-23,15.99515
2023-08-24,18.11572
2023-08-25,18.81248
2023-08-26,1.4541
2023-08-27,1.48439
2023-08-28,20.23629
2023-08-29,17.93395
2023-08-30,17.50984
2023-08-31,16.93426
2023-09-01,15.81338
2023-09-02,2.05998
2023-09-03,1.87821
