date,피상속인
2022-10-27,41.42114
2022-10-28,42.28769
2022-10-29,21.49046
2022-10-30,16.29116
2022-10-31,41.59445
2022-11-01,34.31542
2022-11-02,36.56845
2022-11-03,39.34142
2022-11-04,29.63604
2022-11-05,18.7175
2022-11-06,14.73136
2022-11-07,37.60831
2022-11-08,37.435
2022-11-09,36.91507
2022-11-10,37.95493
2022-11-11,30.15597
2022-11-12,14.73136
2022-11-13,18.54419
2022-11-14,41.94107
2022-11-15,37.435
2022-11-16,38.64818
2022-11-17,41.07452
2022-11-18,25.30329
2022-11-19,12.82495
2022-11-20,15.94454
2022-11-21,34.48873
2022-11-22,39.16811
2022-11-23,34.66204
2022-11-24,33.10225
2022-11-25,28.07625
2022-11-26,14.90467
2022-11-27,15.94454
2022-11-28,31.54246
2022-11-29,29.46273
2022-11-30,31.02253
2022-12-01,41.42114
2022-12-02,34.14211
2022-12-03,16.9844
2022-12-04,18.7175
2022-12-05,35.18197
2022-12-06,42.28769
2022-12-07,42.28769
2022-12-08,38.64818
2022-12-09,34.83535
2022-12-10,20.62391
2022-12-11,24.95667
2022-12-12,41.76776
2022-12-13,43.32755
2022-12-14,42.28769
2022-12-15,38.30155
2022-12-16,33.9688
2022-12-17,18.19757
2022-12-18,15.25129
2022-12-19,36.04852
2022-12-20,36.22183
2022-12-21,31.54246
2022-12-22,33.44887
2022-12-23,28.9428
2022-12-24,13.51819
2022-12-25,14.03812
2022-12-26,31.54246
2022-12-27,38.12824
2022-12-28,35.00866
2022-12-29,37.435
2022-12-30,22.87694
2022-12-31,12.82495
2023-01-01,14.03812
2023-01-02,35.7019
2023-01-03,37.78162
2023-01-04,37.08838
2023-01-05,38.30155
2023-01-06,33.10225
2023-01-07,21.83708
2023-01-08,20.62391
2023-01-09,45.40727
2023-01-10,37.78162
2023-01-11,42.28769
2023-01-12,38.82149
2023-01-13,30.32928
2023-01-14,17.50433
2023-01-15,23.05025
2023-01-16,46.79376
2023-01-17,41.42114
2023-01-18,36.39514
2023-01-19,40.20797
2023-01-20,28.76949
2023-01-21,10.05199
2023-01-22,14.55805
2023-01-23,13.86481
2023-01-24,18.54419
2023-01-25,42.28769
2023-01-26,37.26169
2023-01-27,35.00866
