date,직장인투잡
2023-04-13,47.80487
2023-04-14,41.30081
2023-04-15,32.19512
2023-04-16,42.60162
2023-04-17,60.813
2023-04-18,57.23577
2023-04-19,51.54471
2023-04-20,41.30081
2023-04-21,42.43902
2023-04-22,33.49593
2023-04-23,40.0
2023-04-24,71.70731
2023-04-25,72.52032
2023-04-26,64.55284
2023-04-27,54.95934
2023-04-28,40.4878
2023-04-29,32.68292
2023-04-30,36.42276
2023-05-01,49.10569
2023-05-02,59.67479
2023-05-03,53.98373
2023-05-04,43.90243
2023-05-05,33.65853
2023-05-06,33.65853
2023-05-07,44.22764
2023-05-08,67.96747
2023-05-09,57.72357
2023-05-10,56.42276
2023-05-11,50.4065
2023-05-12,39.67479
2023-05-13,28.45528
2023-05-14,43.90243
2023-05-15,64.55284
2023-05-16,65.85365
2023-05-17,55.44715
2023-05-18,52.52032
2023-05-19,50.8943
2023-05-20,30.4065
2023-05-21,36.58536
2023-05-22,66.50406
2023-05-23,64.39024
2023-05-24,58.53658
2023-05-25,47.96747
2023-05-26,41.13821
2023-05-27,30.5691
