date,현대상선주가
2022-10-31,8.40916
2022-11-01,8.73127
2022-11-02,8.12146
2022-11-03,7.58983
2022-11-04,8.12771
2022-11-05,0.87875
2022-11-06,0.49097
2022-11-07,9.58188
2022-11-08,10.95474
2022-11-09,10.52631
2022-11-10,9.87272
2022-11-11,11.84914
2022-11-12,1.06326
2022-11-13,0.69112
2022-11-14,11.51452
2022-11-15,10.96725
2022-11-16,9.63192
2022-11-17,9.03461
2022-11-18,8.68436
2022-11-19,0.74741
2022-11-20,0.43156
2022-11-21,7.48975
2022-11-22,8.11833
2022-11-23,12.85298
2022-11-24,10.88282
2022-11-25,8.88763
2022-11-26,0.6661
2022-11-27,0.48472
2022-11-28,7.82437
2022-11-29,8.18713
2022-11-30,8.36538
2022-12-01,8.47484
2022-12-02,7.28648
2022-12-03,0.71926
2022-12-04,0.48785
2022-12-05,8.19338
2022-12-06,7.02379
2022-12-07,7.05507
2022-12-08,6.83616
2022-12-09,8.58742
2022-12-10,0.92253
2022-12-11,0.61919
2022-12-12,7.34277
2022-12-13,7.58044
2022-12-14,8.1152
2022-12-15,7.26772
2022-12-16,7.06445
2022-12-17,0.70675
2022-12-18,0.55665
2022-12-19,9.02836
2022-12-20,7.47099
2022-12-21,7.42095
2022-12-22,8.59993
2022-12-23,7.1051
2022-12-24,0.70363
2022-12-25,0.48472
2022-12-26,8.04328
2022-12-27,8.38727
2022-12-28,8.6656
2022-12-29,7.28023
2022-12-30,3.14288
2022-12-31,0.53788
2023-01-01,0.47221
2023-01-02,7.60546
2023-01-03,7.19579
2023-01-04,8.29971
2023-01-05,7.80248
2023-01-06,7.91506
2023-01-07,0.75366
2023-01-08,0.51286
2023-01-09,8.49985
2023-01-10,8.55927
2023-01-11,7.89004
2023-01-12,7.74619
2023-01-13,9.54748
2023-01-14,0.99759
2023-01-15,0.65359
2023-01-16,8.11833
2023-01-17,7.41157
2023-01-18,6.45151
2023-01-19,6.50467
2023-01-20,5.70097
2023-01-21,0.55039
2023-01-22,0.33774
2023-01-23,0.46908
2023-01-24,0.55977
2023-01-25,8.09018
2023-01-26,7.91193
2023-01-27,11.55205
2023-01-28,1.01635
2023-01-29,0.79432
2023-01-30,8.2872
2023-01-31,7.85564
2023-02-01,8.85011
2023-02-02,8.60618
2023-02-03,7.80561
2023-02-04,0.71926
2023-02-05,0.58166
2023-02-06,7.22706
2023-02-07,7.56481
2023-02-08,7.81499
2023-02-09,6.84554
2023-02-10,6.58285
2023-02-11,0.65359
2023-02-12,0.53163
2023-02-13,6.88932
2023-02-14,8.012
2023-02-15,7.31775
2023-02-16,7.73681
2023-02-17,6.92998
2023-02-18,0.64421
2023-02-19,0.50974
2023-02-20,7.06132
2023-02-21,6.98314
2023-02-22,6.62038
2023-02-23,8.97832
2023-02-24,8.1152
2023-02-25,0.70363
2023-02-26,0.50974
2023-02-27,6.88307
2023-02-28,6.73921
2023-03-01,1.01948
2023-03-02,7.36154
2023-03-03,6.6798
2023-03-04,0.6317
2023-03-05,0.4597
2023-03-06,6.52969
2023-03-07,6.33267
2023-03-08,6.11064
2023-03-09,5.92926
2023-03-10,5.37573
2023-03-11,0.55977
