date,에쿼티
2022-08-23,49.06832
2022-08-24,42.85714
2022-08-25,43.1677
2022-08-26,40.06211
2022-08-27,20.80745
2022-08-28,15.21739
2022-08-29,42.54658
2022-08-30,50.0
2022-08-31,56.21118
2022-09-01,49.68944
2022-09-02,41.6149
2022-09-03,17.70186
2022-09-04,21.73913
2022-09-05,49.06832
2022-09-06,50.31055
2022-09-07,43.1677
2022-09-08,29.81366
2022-09-09,9.31677
2022-09-10,5.2795
2022-09-11,14.90683
2022-09-12,19.87577
2022-09-13,42.85714
2022-09-14,53.10559
2022-09-15,47.51552
2022-09-16,46.58385
2022-09-17,14.90683
2022-09-18,16.45962
2022-09-19,41.6149
2022-09-20,45.96273
2022-09-21,59.31677
2022-09-22,45.03105
2022-09-23,37.26708
2022-09-24,12.73291
2022-09-25,11.80124
2022-09-26,42.85714
2022-09-27,50.0
2022-09-28,48.13664
2022-09-29,57.76397
2022-09-30,50.0
2022-10-01,15.8385
2022-10-02,10.86956
2022-10-03,12.1118
2022-10-04,39.44099
2022-10-05,37.26708
2022-10-06,40.99378
2022-10-07,41.30434
2022-10-08,18.94409
2022-10-09,13.97515
2022-10-10,16.77018
2022-10-11,39.75155
2022-10-12,45.96273
2022-10-13,49.68944
2022-10-14,37.57763
2022-10-15,14.90683
2022-10-16,14.28571
2022-10-17,44.09937
2022-10-18,43.1677
2022-10-19,49.68944
2022-10-20,45.03105
2022-10-21,33.22981
2022-10-22,15.8385
2022-10-23,20.18633
2022-10-24,47.51552
2022-10-25,43.78881
2022-10-26,54.65838
2022-10-27,40.37267
2022-10-28,41.6149
2022-10-29,12.73291
2022-10-30,12.73291
2022-10-31,37.57763
2022-11-01,44.09937
2022-11-02,39.44099
2022-11-03,43.78881
2022-11-04,35.40372
2022-11-05,18.94409
2022-11-06,15.21739
2022-11-07,42.85714
2022-11-08,54.03726
2022-11-09,51.24223
2022-11-10,40.37267
2022-11-11,33.22981
2022-11-12,18.94409
2022-11-13,11.18012
2022-11-14,43.47826
2022-11-15,40.99378
2022-11-16,46.8944
2022-11-17,38.19875
2022-11-18,35.40372
2022-11-19,11.18012
2022-11-20,11.80124
2022-11-21,37.88819
2022-11-22,41.30434
2022-11-23,49.68944
2022-11-24,42.54658
2022-11-25,44.40993
2022-11-26,15.21739
2022-11-27,13.35403
2022-11-28,36.95652
2022-11-29,38.19875
2022-11-30,44.40993
2022-12-01,35.71428
2022-12-02,36.64596
2022-12-03,9.31677
2022-12-04,14.90683
2022-12-05,42.23602
2022-12-06,41.6149
2022-12-07,40.06211
