date,메리츠금융지주
2022-06-15,4.77963
2022-06-16,4.05499
2022-06-17,3.82668
2022-06-18,1.45423
2022-06-19,1.09688
2022-06-20,5.19158
2022-06-21,4.24856
2022-06-22,4.79948
2022-06-23,4.57613
2022-06-24,3.59837
2022-06-25,0.68493
2022-06-26,0.70478
2022-06-27,3.52888
2022-06-28,3.9855
2022-06-29,4.13936
2022-06-30,4.17411
2022-07-01,3.07722
2022-07-02,0.7296
2022-07-03,0.75441
2022-07-04,3.60829
2022-07-05,3.61822
2022-07-06,4.70021
2022-07-07,3.72245
2022-07-08,2.9184
2022-07-09,0.59559
2022-07-10,0.52114
2022-07-11,2.88366
2022-07-12,3.12189
2022-07-13,3.05241
2022-07-14,3.96565
2022-07-15,6.34802
2022-07-16,1.216
2022-07-17,0.95294
2022-07-18,3.68771
2022-07-19,3.52888
2022-07-20,2.94818
2022-07-21,2.81913
2022-07-22,2.36251
2022-07-23,0.5261
2022-07-24,0.42187
2022-07-25,2.70994
2022-07-26,2.6752
2022-07-27,2.73972
2022-07-28,2.62557
2022-07-29,2.95314
2022-07-30,0.72463
2022-07-31,0.5807
2022-08-01,2.35755
2022-08-02,2.70001
2022-08-03,4.14929
2022-08-04,3.72245
2022-08-05,4.30315
2022-08-06,0.97776
2022-08-07,0.59559
2022-08-08,4.2287
2022-08-09,4.21381
2022-08-10,4.56124
2022-08-11,3.36509
2022-08-12,3.107
2022-08-13,0.66507
2022-08-14,0.42684
2022-08-15,0.55092
2022-08-16,2.78439
2022-08-17,4.18403
2022-08-18,3.89616
2022-08-19,4.6208
2022-08-20,1.48898
2022-08-21,1.33512
2022-08-22,3.87135
2022-08-23,3.42962
2022-08-24,4.15922
2022-08-25,3.23108
2022-08-26,2.75461
2022-08-27,0.54099
2022-08-28,0.45165
2022-08-29,2.79432
2022-08-30,3.75223
2022-08-31,3.4594
2022-09-01,3.33531
2022-09-02,2.82906
2022-09-03,0.64026
2022-09-04,0.55092
2022-09-05,2.74965
2022-09-06,2.83899
2022-09-07,4.05995
2022-09-08,2.88366
2022-09-09,0.60055
2022-09-10,0.54595
2022-09-11,0.49632
2022-09-12,0.61048
2022-09-13,3.39487
2022-09-14,3.03752
2022-09-15,2.73476
2022-09-16,2.67024
2022-09-17,0.68989
2022-09-18,0.61048
2022-09-19,2.73972
2022-09-20,2.70994
2022-09-21,2.68513
2022-09-22,2.97796
2022-09-23,3.68274
2022-09-24,1.78677
2022-09-25,0.75441
2022-09-26,3.44451
2022-09-27,3.107
2022-09-28,3.60333
2022-09-29,3.8912
2022-09-30,2.89855
2022-10-01,0.59062
2022-10-02,0.54595
2022-10-03,0.64026
2022-10-04,3.13182
