date,장외주식거래방법
2023-01-27,1.36054
2023-01-28,0.58309
2023-01-29,0.68027
2023-01-30,1.45772
2023-01-31,1.10139
2023-02-01,1.06899
2023-02-02,1.65208
2023-02-03,1.29575
2023-02-04,0.45351
2023-02-05,0.77745
2023-02-06,0.97181
2023-02-07,1.32815
2023-02-08,1.78166
2023-02-09,1.94363
2023-02-10,1.52251
2023-02-11,1.00421
2023-02-12,1.00421
2023-02-13,1.61969
2023-02-14,1.74927
2023-02-15,1.42533
2023-02-16,2.52672
2023-02-17,1.78166
2023-02-18,1.23096
2023-02-19,0.68027
2023-02-20,2.04081
2023-02-21,1.94363
2023-02-22,1.32815
2023-02-23,2.23517
2023-02-24,1.65208
2023-02-25,1.19857
2023-02-26,1.0366
2023-02-27,1.68448
2023-02-28,1.52251
2023-03-01,1.71687
2023-03-02,2.29996
2023-03-03,2.1056
2023-03-04,1.32815
2023-03-05,1.61969
2023-03-06,2.42954
2023-03-07,2.49433
2023-03-08,1.87884
2023-03-09,1.87884
2023-03-10,2.04081
2023-03-11,0.97181
2023-03-12,1.52251
2023-03-13,2.26757
2023-03-14,2.04081
2023-03-15,2.85066
2023-03-16,2.72108
2023-03-17,2.39714
2023-03-18,1.23096
2023-03-19,0.93942
2023-03-20,2.20278
2023-03-21,3.10981
2023-03-22,3.23939
2023-03-23,3.53093
2023-03-24,2.33236
2023-03-25,1.16618
2023-03-26,1.5549
2023-03-27,2.36475
2023-03-28,3.27178
2023-03-29,3.23939
2023-03-30,3.36896
2023-03-31,2.72108
2023-04-01,1.23096
2023-04-02,2.1056
2023-04-03,3.62811
2023-04-04,3.85487
2023-04-05,3.53093
2023-04-06,4.37317
2023-04-07,3.20699
2023-04-08,1.97602
2023-04-09,2.20278
2023-04-10,3.01263
2023-04-11,4.04923
2023-04-12,3.62811
2023-04-13,3.27178
2023-04-14,3.46614
2023-04-15,1.94363
2023-04-16,2.78587
2023-04-17,3.07742
2023-04-18,2.94784
2023-04-19,3.1422
2023-04-20,3.27178
2023-04-21,2.91545
2023-04-22,1.84645
2023-04-23,1.97602
2023-04-24,2.55911
2023-04-25,3.01263
2023-04-26,2.75348
2023-04-27,2.55911
2023-04-28,2.68869
2023-04-29,1.36054
2023-04-30,1.19857
2023-05-01,1.49011
2023-05-02,2.55911
2023-05-03,2.26757
2023-05-04,2.26757
2023-05-05,1.36054
2023-05-06,1.23096
2023-05-07,1.23096
2023-05-08,1.42533
2023-05-09,2.46193
2023-05-10,1.78166
2023-05-11,2.07321
2023-05-12,1.87884
2023-05-13,1.06899
