date,채권채무
2021-12-18,13.57142
2021-12-19,15.0
2021-12-20,35.0
2021-12-21,53.57142
2021-12-22,37.85714
2021-12-23,32.14285
2021-12-24,35.71428
2021-12-25,13.57142
2021-12-26,16.42857
2021-12-27,41.42857
2021-12-28,43.57142
2021-12-29,43.57142
2021-12-30,38.57142
2021-12-31,27.85714
2022-01-01,15.71428
2022-01-02,14.28571
2022-01-03,45.71428
2022-01-04,46.42857
2022-01-05,48.57142
2022-01-06,53.57142
2022-01-07,40.71428
2022-01-08,15.0
2022-01-09,25.71428
2022-01-10,65.0
2022-01-11,60.71428
2022-01-12,52.14285
2022-01-13,59.28571
2022-01-14,55.71428
2022-01-15,15.71428
2022-01-16,20.0
2022-01-17,46.42857
2022-01-18,67.14285
2022-01-19,67.85714
2022-01-20,76.42857
2022-01-21,75.0
2022-01-22,21.42857
2022-01-23,24.28571
2022-01-24,52.14285
2022-01-25,88.57142
2022-01-26,100.0
2022-01-27,72.85714
2022-01-28,61.42857
2022-01-29,25.71428
2022-01-30,22.14285
2022-01-31,15.0
2022-02-01,9.28571
2022-02-02,22.85714
2022-02-03,77.14285
2022-02-04,75.71428
2022-02-05,23.57142
2022-02-06,19.28571
2022-02-07,82.14285
2022-02-08,70.71428
2022-02-09,74.28571
2022-02-10,68.57142
2022-02-11,66.42857
2022-02-12,20.0
2022-02-13,27.14285
2022-02-14,79.28571
2022-02-15,95.71428
2022-02-16,87.85714
2022-02-17,75.71428
2022-02-18,66.42857
2022-02-19,14.28571
2022-02-20,19.28571
2022-02-21,81.42857
2022-02-22,70.71428
2022-02-23,88.57142
2022-02-24,56.42857
2022-02-25,53.57142
2022-02-26,13.57142
2022-02-27,10.71428
2022-02-28,44.28571
2022-03-01,23.57142
2022-03-02,65.71428
2022-03-03,61.42857
2022-03-04,53.57142
2022-03-05,25.0
2022-03-06,17.85714
2022-03-07,69.28571
2022-03-08,55.0
2022-03-09,32.14285
2022-03-10,65.0
2022-03-11,57.85714
2022-03-12,26.42857
2022-03-13,23.57142
2022-03-14,61.42857
2022-03-15,72.85714
2022-03-16,64.28571
2022-03-17,56.42857
2022-03-18,57.85714
2022-03-19,27.14285
2022-03-20,30.0
2022-03-21,66.42857
2022-03-22,64.28571
2022-03-23,68.57142
2022-03-24,52.14285
2022-03-25,55.71428
2022-03-26,21.42857
2022-03-27,17.14285
2022-03-28,47.14285
2022-03-29,45.71428
2022-03-30,41.42857
2022-03-31,58.57142
2022-04-01,39.28571
2022-04-02,17.85714
2022-04-03,22.14285
2022-04-04,44.28571
2022-04-05,38.57142
2022-04-06,52.14285
2022-04-07,55.71428
2022-04-08,37.85714
2022-04-09,13.57142
2022-04-10,22.14285
2022-04-11,47.14285
2022-04-12,59.28571
2022-04-13,65.0
2022-04-14,44.28571
2022-04-15,32.85714
2022-04-16,24.28571
2022-04-17,22.85714
2022-04-18,57.85714
2022-04-19,48.57142
2022-04-20,55.0
2022-04-21,44.28571
2022-04-22,36.42857
2022-04-23,25.0
2022-04-24,27.14285
2022-04-25,45.0
2022-04-26,43.57142
2022-04-27,52.14285
2022-04-28,39.28571
2022-04-29,32.85714
2022-04-30,15.0
2022-05-01,16.42857
2022-05-02,38.57142
2022-05-03,47.14285
2022-05-04,30.71428
2022-05-05,15.71428
2022-05-06,23.57142
2022-05-07,12.85714
2022-05-08,22.14285
2022-05-09,45.0
2022-05-10,44.28571
2022-05-11,59.28571
2022-05-12,50.0
2022-05-13,34.28571
2022-05-14,15.0
2022-05-15,21.42857
2022-05-16,30.71428
2022-05-17,41.42857
2022-05-18,44.28571
2022-05-19,37.14285
2022-05-20,37.85714
2022-05-21,15.71428
2022-05-22,15.71428
2022-05-23,31.42857
2022-05-24,42.85714
2022-05-25,42.14285
2022-05-26,37.85714
2022-05-27,27.85714
2022-05-28,13.57142
2022-05-29,12.14285
2022-05-30,37.14285
2022-05-31,40.0
2022-06-01,26.42857
2022-06-02,31.42857
2022-06-03,36.42857
