date,주식시세표
2022-08-18,11.71786
2022-08-19,12.28668
2022-08-20,2.90102
2022-08-21,1.70648
2022-08-22,11.66097
2022-08-23,12.51422
2022-08-24,11.71786
2022-08-25,14.16382
2022-08-26,12.45733
2022-08-27,3.01478
2022-08-28,1.53583
2022-08-29,15.52901
2022-08-30,15.41524
2022-08-31,14.84641
2022-09-01,14.10693
2022-09-02,15.13083
2022-09-03,2.6166
2022-09-04,1.93401
2022-09-05,14.50511
2022-09-06,10.97838
2022-09-07,13.53811
2022-09-08,11.54721
2022-09-09,2.84414
2022-09-10,2.50284
2022-09-11,1.70648
2022-09-12,3.01478
2022-09-13,15.98407
2022-09-14,17.57679
2022-09-15,14.61888
2022-09-16,12.68486
2022-09-17,3.2992
2022-09-18,1.42207
2022-09-19,12.40045
2022-09-20,11.8885
2022-09-21,11.83162
2022-09-22,12.79863
2022-09-23,15.58589
2022-09-24,2.67349
2022-09-25,2.27531
2022-09-26,17.17861
2022-09-27,14.16382
2022-09-28,15.92718
2022-09-29,14.90329
2022-09-30,17.80432
2022-10-01,2.78725
2022-10-02,2.21843
2022-10-03,4.15244
2022-10-04,14.2207
2022-10-05,13.76564
2022-10-06,13.53811
2022-10-07,15.18771
2022-10-08,2.9579
2022-10-09,1.53583
2022-10-10,3.12855
2022-10-11,14.16382
2022-10-12,15.35836
2022-10-13,12.96928
2022-10-14,13.31058
2022-10-15,3.69738
2022-10-16,2.73037
2022-10-17,21.27417
2022-10-18,17.29237
2022-10-19,15.58589
2022-10-20,12.5711
2022-10-21,11.26279
2022-10-22,2.44596
2022-10-23,2.04778
2022-10-24,11.94539
2022-10-25,11.03526
2022-10-26,11.03526
2022-10-27,15.24459
2022-10-28,12.45733
2022-10-29,3.01478
2022-10-30,0.73947
2022-10-31,11.54721
2022-11-01,12.79863
2022-11-02,13.19681
2022-11-03,12.00227
2022-11-04,12.5711
2022-11-05,1.6496
2022-11-06,2.33219
2022-11-07,9.78384
2022-11-08,11.77474
2022-11-09,13.59499
2022-11-10,15.35836
2022-11-11,15.30147
2022-11-12,4.37997
2022-11-13,2.9579
2022-11-14,15.47212
2022-11-15,14.562
2022-11-16,13.93629
2022-11-17,14.50511
2022-11-18,12.9124
2022-11-19,2.55972
2022-11-20,1.08077
2022-11-21,12.68486
2022-11-22,10.18202
2022-11-23,12.11604
2022-11-24,12.45733
2022-11-25,11.20591
2022-11-26,2.04778
2022-11-27,1.36518
2022-11-28,10.35267
2022-11-29,9.27189
2022-11-30,9.10125
2022-12-01,10.5802
2022-12-02,8.98748
2022-12-03,1.42207
2022-12-04,1.99089
2022-12-05,11.14903
2022-12-06,9.61319
2022-12-07,9.61319
2022-12-08,10.80773
2022-12-09,11.31968
2022-12-10,1.93401
2022-12-11,1.53583
2022-12-12,9.67007
2022-12-13,9.32878
2022-12-14,9.55631
2022-12-15,9.78384
2022-12-16,8.47554
2022-12-17,2.55972
2022-12-18,0.85324
2022-12-19,8.47554
2022-12-20,8.41865
2022-12-21,10.69397
2022-12-22,9.21501
2022-12-23,9.72696
2022-12-24,1.82025
2022-12-25,1.87713
2022-12-26,8.07736
2022-12-27,7.73606
2022-12-28,9.67007
2022-12-29,11.14903
