date,현대미술작가
2023-01-21,8.33333
2023-01-22,7.05128
2023-01-23,6.08974
2023-01-24,11.21794
2023-01-25,8.01282
2023-01-26,13.14102
2023-01-27,11.53846
2023-01-28,10.57692
2023-01-29,8.97435
2023-01-30,10.57692
2023-01-31,10.57692
2023-02-01,11.53846
2023-02-02,14.10256
2023-02-03,12.17948
2023-02-04,8.65384
2023-02-05,8.33333
2023-02-06,15.70512
2023-02-07,9.61538
2023-02-08,8.33333
2023-02-09,10.57692
2023-02-10,11.53846
2023-02-11,11.85897
2023-02-12,10.57692
2023-02-13,8.97435
2023-02-14,10.25641
2023-02-15,9.61538
2023-02-16,10.25641
2023-02-17,8.65384
2023-02-18,9.93589
2023-02-19,9.61538
2023-02-20,9.29487
2023-02-21,11.21794
2023-02-22,9.93589
2023-02-23,3.84615
2023-02-24,12.17948
2023-02-25,9.29487
2023-02-26,10.89743
2023-02-27,8.65384
2023-02-28,11.21794
2023-03-01,9.29487
2023-03-02,20.83333
2023-03-03,18.91025
2023-03-04,10.25641
2023-03-05,14.42307
2023-03-06,27.24358
2023-03-07,28.84615
2023-03-08,26.28205
2023-03-09,21.15384
2023-03-10,26.28205
2023-03-11,14.10256
2023-03-12,25.96153
2023-03-13,38.78205
2023-03-14,34.93589
2023-03-15,45.1923
2023-03-16,27.24358
2023-03-17,17.30769
2023-03-18,13.46153
2023-03-19,14.42307
2023-03-20,33.33333
2023-03-21,25.0
2023-03-22,21.47435
2023-03-23,23.07692
2023-03-24,29.80769
2023-03-25,13.46153
2023-03-26,16.98717
2023-03-27,30.1282
2023-03-28,31.41025
2023-03-29,25.64102
2023-03-30,20.51282
2023-03-31,16.66666
2023-04-01,12.5
2023-04-02,15.38461
2023-04-03,17.6282
2023-04-04,28.20512
2023-04-05,25.64102
2023-04-06,20.1923
2023-04-07,14.74358
2023-04-08,11.21794
2023-04-09,15.70512
2023-04-10,23.71794
2023-04-11,33.33333
2023-04-12,26.60256
2023-04-13,23.39743
2023-04-14,21.15384
2023-04-15,16.34615
2023-04-16,16.34615
2023-04-17,25.96153
2023-04-18,20.1923
2023-04-19,20.1923
2023-04-20,18.58974
2023-04-21,12.5
2023-04-22,19.23076
2023-04-23,13.46153
2023-04-24,16.34615
2023-04-25,18.26923
2023-04-26,12.82051
2023-04-27,16.02564
2023-04-28,18.91025
2023-04-29,19.87179
2023-04-30,16.66666
2023-05-01,34.61538
2023-05-02,23.07692
2023-05-03,20.1923
2023-05-04,20.51282
2023-05-05,13.78205
2023-05-06,10.57692
2023-05-07,16.66666
2023-05-08,22.75641
2023-05-09,21.47435
2023-05-10,20.1923
2023-05-11,17.94871
2023-05-12,17.30769
2023-05-13,7.6923
2023-05-14,14.74358
2023-05-15,17.30769
2023-05-16,32.05128
2023-05-17,25.0
2023-05-18,23.07692
2023-05-19,23.39743
2023-05-20,9.29487
2023-05-21,16.02564
2023-05-22,29.48717
2023-05-23,23.39743
2023-05-24,24.03846
2023-05-25,19.23076
2023-05-26,14.42307
2023-05-27,10.89743
2023-05-28,7.05128
2023-05-29,16.98717
